cbsa,NAME,pop_total,pop_b03001,mexican_origin,median_hh_income,mexican_share
11360,"Anderson Creek, NC Micro Area",136503,136503,10547,69012,0.0772657011201219
11380,"Andrews, TX Micro Area",18518,18518,9747,76902,0.5263527378766606
11420,"Angola, IN Micro Area",34648,34648,1129,71483,0.03258485338259062
11460,"Ann Arbor, MI Metro Area",368394,368394,10237,87156,0.027788183303745446
11500,"Anniston-Oxford, AL Metro Area",116141,116141,3511,55826,0.030230495690582997
11540,"Appleton, WI Metro Area",244163,244163,9213,83919,0.03773298984694651
11580,"Arcadia, FL Micro Area",34719,34719,7884,50868,0.22708027304933898
11620,"Ardmore, OK Micro Area",48255,48255,3136,58856,0.06498808413635893
11640,"Arecibo, PR Metro Area",181380,181380,117,24436,0.0006450545815415151
11660,"Arkadelphia, AR Micro Area",21378,21378,838,50985,0.03919917672373468
11680,"Arkansas City-Winfield, KS Micro Area",34487,34487,2435,58263,0.07060631542320295
11700,"Asheville, NC Metro Area",410817,410817,21335,69236,0.05193309916580862
11740,"Ashland, OH Micro Area",52296,52296,467,64991,0.008929937280097904
11820,"Astoria, OR Micro Area",41343,41343,2353,68705,0.056914108797136154
11860,"Atchison, KS Micro Area",16211,16211,365,62164,0.022515575843563014
11900,"Athens, OH Micro Area",61573,61573,427,53837,0.006934857811053546
11940,"Athens, TN Micro Area",67211,67211,1756,59361,0.026126675692966925
11980,"Athens, TX Micro Area",83658,83658,10657,63955,0.12738769753042148
12020,"Athens-Clarke County, GA Metro Area",218190,218190,11164,62897,0.051166414592786105
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",6176937,6176937,354908,86338,0.05745695641707209
12100,"Atlantic City-Hammonton, NJ Metro Area",369940,369940,15470,80600,0.04181759204195275
12140,"Auburn, IN Micro Area",43584,43584,841,70080,0.01929607195301028
12180,"Auburn, NY Micro Area",75464,75464,329,66583,0.004359694688858264
12220,"Auburn-Opelika, AL Metro Area",196614,196614,4026,58991,0.020476670023497817
12260,"Augusta-Richmond County, GA-SC Metro Area",618022,618022,17083,66628,0.027641410823562914
12300,"Augusta-Waterville, ME Micro Area",125614,125614,599,65062,0.004768576750999093
12380,"Austin, MN Micro Area",40069,40069,3811,71495,0.09511093363947191
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2357497,2357497,584362,97638,0.2478739103379559
12460,"Bainbridge, GA Micro Area",29118,29118,1540,50485,0.05288824781921835
12520,"Baker City, OR Micro Area",16796,16796,714,57844,0.04251012145748988
12540,"Bakersfield-Delano, CA Metro Area",910433,910433,456454,67660,0.5013592433490438
12580,"Baltimore-Columbia-Towson, MD Metro Area",2839409,2839409,44318,97300,0.015608177617243589
12620,"Bangor, ME Metro Area",153571,153571,1297,63248,0.008445604964478971
12660,"Baraboo, WI Micro Area",65759,65759,2655,77648,0.040374701561763406
12700,"Barnstable Town, MA Metro Area",230073,230073,1473,94452,0.00640231578672856
12740,"Barre, VT Micro Area",59958,59958,490,79853,0.008172387337803129
12780,"Bartlesville, OK Micro Area",52895,52895,2624,61205,0.049607713394460726
12860,"Batavia, NY Micro Area",57943,57943,949,72055,0.016378164748114526
12900,"Batesville, AR Micro Area",38120,38120,1805,56009,0.0473504721930745
12940,"Baton Rouge, LA Metro Area",871379,871379,15317,68910,0.017577885168221865
12980,"Battle Creek, MI Metro Area",133846,133846,5741,60385,0.04289257803744602
13020,"Bay City, MI Metro Area",103235,103235,5318,60523,0.0515135370756042
13060,"Bay City, TX Micro Area",36274,36274,13689,55174,0.3773777361195347
13100,"Beatrice, NE Micro Area",21646,21646,526,64426,0.02430010163540608
13140,"Beaumont-Port Arthur, TX Metro Area",396058,396058,55716,65245,0.14067636558281868
13180,"Beaver Dam, WI Micro Area",88818,88818,4351,73992,0.04898781778468329
13220,"Beckley, WV Metro Area",113653,113653,471,52345,0.004144193290102329
13260,"Bedford, IN Micro Area",45077,45077,699,65551,0.015506799476451406
13300,"Beeville, TX Micro Area",31000,31000,17246,56075,0.5563225806451613
13340,"Bellefontaine, OH Micro Area",46140,46140,462,69183,0.010013003901170351
13380,"Bellingham, WA Metro Area",228432,228432,16266,80989,0.07120718638369405
13420,"Bemidji, MN Micro Area",46421,46421,634,67257,0.013657611856702785
13460,"Bend, OR Metro Area",253650,253650,19877,85509,0.0783638872462054
13540,"Bennington, VT Micro Area",37312,37312,366,71494,0.009809176672384219
13660,"Big Rapids, MI Micro Area",40321,40321,735,57774,0.01822871456561097
13700,"Big Spring, TX Micro Area",33127,33127,12716,71457,0.383856069067528
13740,"Billings, MT Metro Area",187269,187269,8251,74599,0.04405961477874074
13780,"Binghamton, NY Metro Area",245844,245844,1550,63347,0.006304811181074177
13820,"Birmingham, AL Metro Area",1181432,1181432,43679,69627,0.03697123490814537
13860,"Bishop, CA Micro Area",18803,18803,3491,72432,0.185661862468755
13900,"Bismarck, ND Metro Area",134286,134286,1906,83982,0.014193586822155697
13940,"Blackfoot, ID Micro Area",48993,48993,7334,76842,0.14969485436695038
13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",181605,181605,2891,64627,0.015919165221221884
14010,"Bloomington, IL Metro Area",170882,170882,7896,78329,0.046207324352477146
14020,"Bloomington, IN Metro Area",161256,161256,3333,62949,0.020668998362851614
14100,"Bloomsburg-Berwick, PA Micro Area",65055,65055,1314,61992,0.02019829375144109
14140,"Bluefield, WV-VA Micro Area",98995,98995,483,46906,0.0048790342946613465
14180,"Blytheville, AR Micro Area",39749,39749,1698,53428,0.04271805580014591
14220,"Bogalusa, LA Micro Area",45238,45238,386,42776,0.00853264954242009
14260,"Boise City, ID Metro Area",790640,790640,93332,82694,0.11804613983608216
14300,"Bonham, TX Micro Area",36525,36525,4069,68377,0.1114031485284052
14380,"Boone, NC Micro Area",54607,54607,1794,51367,0.032852930942919405
14420,"Borger, TX Micro Area",20413,20413,4479,65470,0.2194189976975457
14460,"Boston-Cambridge-Newton, MA-NH Metro Area",4917661,4917661,39412,112484,0.00801437919368578
14500,"Boulder, CO Metro Area",328317,328317,32317,102772,0.09843230780008345
14540,"Bowling Green, KY Metro Area",183194,183194,6161,62437,0.03363101411618284
14580,"Bozeman, MT Metro Area",122194,122194,3642,87454,0.029805064078432655
14620,"Bradford, PA Micro Area",40149,40149,147,61705,0.003661361428678174
14660,"Brainerd, MN Micro Area",97801,97801,1112,69311,0.01137002689134058
14700,"Branson, MO Micro Area",56382,56382,2390,58258,0.042389415061544464
14710,"Brattleboro, VT Micro Area",45913,45913,278,68021,0.006054929976259447
14720,"Breckenridge, CO Micro Area",38268,38268,5279,102233,0.13794815511654646
14740,"Bremerton-Silverdale-Port Orchard, WA Metro Area",276581,276581,14708,98546,0.05317791171483218
14780,"Brenham, TX Micro Area",36156,36156,5966,75085,0.16500719106095807
14820,"Brevard, NC Micro Area",33243,33243,873,64523,0.02626116776464218
14860,"Bridgeport-Stamford-Danbury, CT Metro Area",947528,947528,22562,111656,0.023811433540750247
14940,"Brigham City, UT-ID Micro Area",64406,64406,4769,77315,0.07404589634506102
15020,"Brookhaven, MS Micro Area",34830,34830,92,48316,0.0026414010910134943
15060,"Brookings, OR Micro Area",23463,23463,1626,64769,0.06930060094617056
15100,"Brookings, SD Micro Area",34968,34968,612,67341,0.017501715854495538
15180,"Brownsville-Harlingen, TX Metro Area",423192,423192,356487,51334,0.8423765099529291
15220,"Brownwood, TX Micro Area",38294,38294,7391,55305,0.1930067373478874
15260,"Brunswick-St. Simons, GA Metro Area",114345,114345,3566,64819,0.031186322095413003
15340,"Bucyrus, OH Micro Area",41767,41767,447,55477,0.010702229032489765
15380,"Buffalo-Cheektowaga, NY Metro Area",1161385,1161385,7444,70572,0.0064095885516000295
15420,"Burley, ID Micro Area",47087,47087,13376,68214,0.28406991313950775
15460,"Burlington, IA-IL Micro Area",44881,44881,1004,61453,0.022370268042155923
15500,"Burlington, NC Metro Area",174286,174286,15593,64445,0.08946788611821947
15540,"Burlington-South Burlington, VT Metro Area",226603,226603,1102,90911,0.004863130673468577
15580,"Butte-Silver Bow, MT Micro Area",35589,35589,1311,57504,0.03683722498524825
15620,"Cadillac, MI Micro Area",49024,49024,803,62833,0.016379732375979113
15660,"Calhoun, GA Micro Area",58336,58336,5046,61997,0.08649890290729567
15700,"Cambridge, MD Micro Area",32612,32612,518,60495,0.015883723782656692
15740,"Cambridge, OH Micro Area",38283,38283,378,55756,0.009873834339001646
15780,"Camden, AR Micro Area",27034,27034,976,52267,0.03610268550713916
15820,"Campbellsville, KY Micro Area",37483,37483,321,55929,0.0085638822933063
15860,"Cañon City, CO Micro Area",49394,49394,1722,61027,0.03486253391100134
15900,"Canton, IL Micro Area",33259,33259,669,58617,0.020114856129168045
15940,"Canton-Massillon, OH Metro Area",400495,400495,3542,65666,0.00884405548134184
15980,"Cape Coral-Fort Myers, FL Metro Area",792692,792692,37069,73099,0.046763433969309647
16020,"Cape Girardeau, MO-IL Metro Area",97813,97813,1404,67267,0.014353920235551512
16060,"Carbondale, IL Micro Area",52706,52706,1633,45572,0.030983189769665694
16100,"Carlsbad-Artesia, NM Micro Area",61114,61114,27167,79605,0.4445298949504205
16140,"Carroll, IA Micro Area",20677,20677,336,68528,0.016249939546355854
16180,"Carson City, NV Metro Area",58364,58364,12013,71809,0.20582893564526078
16220,"Casper, WY Metro Area",79735,79735,5082,71247,0.0637361259171004
16260,"Cedar City, UT Micro Area",60201,60201,4968,65527,0.08252354612049634
16300,"Cedar Rapids, IA Metro Area",275960,275960,7231,77084,0.026203072909117265
16340,"Cedartown, GA Micro Area",43365,43365,3551,55308,0.08188631384757293
16380,"Celina, OH Micro Area",42438,42438,645,78036,0.0151986427258589
16460,"Centralia, IL Micro Area",37294,37294,483,60839,0.012951144956293237
16500,"Centralia, WA Micro Area",83925,83925,7118,69690,0.0848138218647602
16540,"Chambersburg, PA Metro Area",156626,156626,3857,74946,0.02462554109790201
16580,"Champaign-Urbana, IL Metro Area",236196,236196,10699,64558,0.04529712611559891
16620,"Charleston, WV Metro Area",207456,207456,1141,58089,0.005499961437606046
16660,"Charleston-Mattoon, IL Micro Area",46689,46689,1321,56040,0.028293602347448005
16700,"Charleston-North Charleston, SC Metro Area",817756,817756,28320,82272,0.03463135703070354
16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2712818,2712818,133362,80201,0.049159951017724
16820,"Charlottesville, VA Metro Area",222937,222937,4672,90552,0.020956593118235195
16860,"Chattanooga, TN-GA Metro Area",569333,569333,14453,68666,0.02538584624464066
16940,"Cheyenne, WY Metro Area",100661,100661,11313,77884,0.11238712112933509
16980,"Chicago-Naperville-Elgin, IL-IN Metro Area",9359555,9359555,1709757,88850,0.18267503102444507
17020,"Chico, CA Metro Area",209470,209470,34463,68574,0.16452475294791616
17060,"Chillicothe, OH Micro Area",76748,76748,290,59819,0.0037786000938135195
17140,"Cincinnati, OH-KY-IN Metro Area",2255257,2255257,40667,79490,0.01803209124281623
17220,"Clarksburg, WV Micro Area",89717,89717,450,58376,0.005015771815820859
17260,"Clarksdale, MS Micro Area",20808,20808,224,36259,0.010765090349865437
17300,"Clarksville, TN-KY Metro Area",328626,328626,16460,66210,0.05008733332116144
17340,"Clearlake, CA Micro Area",68139,68139,13636,58738,0.2001203422415944
17380,"Cleveland, MS Micro Area",30163,30163,643,37315,0.021317508205417234
17410,"Cleveland, OH Metro Area",2171978,2171978,32962,68507,0.015176028486476383
17420,"Cleveland, TN Metro Area",127445,127445,5090,63490,0.039938797128172936
17500,"Clewiston, FL Micro Area",53122,53122,14274,48979,0.26870223259666426
17540,"Clinton, IA Micro Area",46383,46383,951,65177,0.020503201604035962
17580,"Clovis, NM Micro Area",66934,66934,24085,55193,0.35983207338572326
17620,"Coamo, PR Micro Area",54358,54358,10,21780,0.0001839655616468597
17640,"Coco, PR Micro Area",25397,25397,139,21611,0.005473087372524314
17650,"Cody, WY Micro Area",30109,30109,1469,70533,0.04878939851871533
17660,"Coeur d'Alene, ID Metro Area",177736,177736,6609,77034,0.03718436332538146
17740,"Coldwater, MI Micro Area",44914,44914,2066,61958,0.04599902035000222
17780,"College Station-Bryan, TX Metro Area",273280,273280,59944,59691,0.21935011709601873
17820,"Colorado Springs, CO Metro Area",760782,760782,82492,87180,0.10843053594853716
17860,"Columbia, MO Metro Area",212850,212850,5845,69463,0.02746065304204839
17900,"Columbia, SC Metro Area",839868,839868,26457,66146,0.03150137878809527
17980,"Columbus, GA-AL Metro Area",326136,326136,8967,57762,0.027494664802413717
18020,"Columbus, IN Metro Area",82881,82881,5550,80365,0.06696347775726644
18060,"Columbus, MS Micro Area",68323,68323,902,51587,0.013201996399455528
18100,"Columbus, NE Micro Area",44899,44899,7330,75501,0.16325530635426178
18140,"Columbus, OH Metro Area",2151847,2151847,53145,79847,0.02469738787190725
18180,"Concord, NH Micro Area",155018,155018,659,93944,0.004251119224864209
18220,"Connersville, IN Micro Area",23390,23390,225,56659,0.009619495510902095
18260,"Cookeville, TN Micro Area",143819,143819,2752,53328,0.01913516294787198
18300,"Coos Bay-North Bend, OR Micro Area",64832,64832,3107,60313,0.04792386475814413
18340,"Corbin, KY Micro Area",149625,149625,1172,45067,0.007832915622389306
18380,"Cordele, GA Micro Area",19995,19995,618,42745,0.030907726931732934
18420,"Corinth, MS Micro Area",34500,34500,711,49404,0.020608695652173912
18460,"Cornelia, GA Micro Area",46948,46948,5809,65622,0.1237326403680668
18500,"Corning, NY Micro Area",93034,93034,266,64740,0.0028591697658920394
18580,"Corpus Christi, TX Metro Area",446797,446797,238761,65801,0.534383623882882
18620,"Corsicana, TX Micro Area",53735,53735,15513,59310,0.288694519400763
18660,"Cortland, NY Micro Area",46401,46401,171,67527,0.00368526540376285
18700,"Corvallis, OR Metro Area",96359,96359,6227,76011,0.0646229205367428
18740,"Coshocton, OH Micro Area",36679,36679,50,54687,0.00136317784018103
18820,"Crawfordsville, IN Micro Area",38155,38155,1618,66571,0.04240597562573713
18860,"Crescent City, CA Micro Area",27293,27293,4058,66780,0.1486828124427509
18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",294127,294127,11126,79150,0.037827197095132374
18900,"Crossville, TN Micro Area",62529,62529,1191,58475,0.019047162116777816
18980,"Cullman, AL Micro Area",89463,89463,3454,60916,0.03860813967785565
19060,"Cumberland, MD-WV Micro Area",94684,94684,257,59413,0.0027142917493979974
19100,"Dallas-Fort Worth-Arlington, TX Metro Area",7807555,7807555,1803228,87155,0.23095937204412906
19140,"Dalton, GA Metro Area",143400,143400,32955,65715,0.22981171548117155
19180,"Danville, IL Micro Area",73179,73179,3317,54537,0.04532721135844983
19220,"Danville, KY Micro Area",55123,55123,1284,56209,0.02329336211744644
19260,"Danville, VA Micro Area",102387,102387,2021,48994,0.019738834031664175
19300,"Daphne-Fairhope-Foley, AL Metro Area",239945,239945,7144,75019,0.02977348975806956
19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",381864,381864,31767,71925,0.08318930299792596
19430,"Dayton-Kettering-Beavercreek, OH Metro Area",813608,813608,13801,69752,0.01696271423093185
19460,"Decatur, AL Metro Area",156924,156924,9010,63987,0.05741632892355535
19500,"Decatur, IL Metro Area",102591,102591,1703,62449,0.01659989667709643
19540,"Decatur, IN Micro Area",35995,35995,1569,63128,0.04358938741491874
19580,"Defiance, OH Micro Area",38258,38258,3313,73615,0.08659626744733127
19620,"Del Rio, TX Micro Area",47647,47647,35189,59673,0.7385354796734317
19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",689939,689939,19621,67599,0.02843874603406968
19700,"Deming, NM Micro Area",25420,25420,16069,37917,0.6321400472069236
19740,"Denver-Aurora-Centennial, CO Metro Area",2977085,2977085,520410,102339,0.17480522054291361
19760,"DeRidder, LA Micro Area",36646,36646,851,64995,0.023222179774054465
19780,"Des Moines-West Des Moines, IA Metro Area",720331,720331,41394,84209,0.057465248614872885
19810,"Detroit Lakes, MN Micro Area",35260,35260,380,71117,0.010777084515031198
19820,"Detroit-Warren-Dearborn, MI Metro Area",4367620,4367620,148096,75123,0.03390771175148021
19860,"Dickinson, ND Micro Area",38107,38107,1604,82133,0.042092004093736056
19940,"Dixon, IL Micro Area",34058,34058,1736,68459,0.05097187151330084
19980,"Dodge City, KS Micro Area",34133,34133,16035,70495,0.46977997832010077
20020,"Dothan, AL Metro Area",151804,151804,3949,56772,0.02601380727780559
20060,"Douglas, GA Micro Area",51422,51422,5907,48038,0.11487301155147603
20100,"Dover, DE Metro Area",185043,185043,3169,72872,0.01712574915019752
20140,"Dublin, GA Micro Area",58811,58811,1223,50316,0.020795429426467837
20180,"DuBois, PA Micro Area",78902,78902,491,60181,0.006222909431953563
20220,"Dubuque, IA Metro Area",98948,98948,1606,75919,0.016230747463314064
20260,"Duluth, MN-WI Metro Area",280710,280710,2833,71067,0.010092266039685084
20300,"Dumas, TX Micro Area",21234,21234,10941,61325,0.5152585476123198
20340,"Duncan, OK Micro Area",43314,43314,2926,60236,0.0675532160502378
20420,"Durango, CO Micro Area",56088,56088,3373,85296,0.06013764085009271
20460,"Durant, OK Micro Area",47237,47237,2908,54280,0.061561911213667254
20500,"Durham-Chapel Hill, NC Metro Area",594291,594291,37707,81017,0.06344871451864491
20540,"Dyersburg, TN Micro Area",36681,36681,1083,54973,0.02952482211499141
20580,"Eagle Pass, TX Metro Area",57770,57770,52400,51270,0.907045179158733
20660,"Easton, MD Micro Area",37707,37707,901,84378,0.023894767549791817
20700,"East Stroudsburg, PA Micro Area",167784,167784,2114,82374,0.012599532732560911
20740,"Eau Claire, WI Metro Area",172886,172886,2812,72513,0.016265053272098377
20780,"Edwards, CO Micro Area",55374,55374,12464,103174,0.22508758623180555
20820,"Effingham, IL Micro Area",44883,44883,434,74219,0.009669585366397077
20900,"El Campo, TX Micro Area",41651,41651,15397,66100,0.36966699479004106
20940,"El Centro, CA Metro Area",179319,179319,148315,56393,0.8271014226044089
20980,"El Dorado, AR Micro Area",38368,38368,1511,50221,0.03938177648040033
21020,"Elizabeth City, NC Micro Area",40830,40830,847,63912,0.02074455057555719
21060,"Elizabethtown, KY Metro Area",126480,126480,3192,67630,0.02523719165085389
21120,"Elk City, OK Micro Area",22202,22202,2361,52323,0.10634177101162058
21140,"Elkhart-Goshen, IN Metro Area",206868,206868,25668,65617,0.12407912291896282
21180,"Elkins, WV Micro Area",27782,27782,110,55057,0.003959398171477935
21220,"Elko, NV Micro Area",55512,55512,12561,83305,0.2262753999135322
21260,"Ellensburg, WA Micro Area",44736,44736,3624,69928,0.08100858369098712
21300,"Elmira, NY Metro Area",82805,82805,698,63469,0.008429442666505646
21340,"El Paso, TX Metro Area",869606,869606,673514,58800,0.7745047757260185
21380,"Emporia, KS Micro Area",34724,34724,6273,58788,0.18065315055869138
21420,"Enid, OK Metro Area",62322,62322,8033,67302,0.12889509322550624
21460,"Enterprise, AL Micro Area",54231,54231,2564,64672,0.047279231435894596
21500,"Erie, PA Metro Area",269544,269544,2378,61476,0.008822307304187814
21540,"Escanaba, MI Micro Area",36829,36829,293,54829,0.007955687094409298
21580,"Española, NM Micro Area",40165,40165,9326,53901,0.23219220714552471
21640,"Eufaula, AL-GA Micro Area",26849,26849,1004,43740,0.03739431636187567
21660,"Eugene-Springfield, OR Metro Area",382628,382628,27906,69311,0.07293245658969025
21700,"Eureka-Arcata, CA Micro Area",135418,135418,14622,61135,0.10797678299782894
21740,"Evanston, WY-UT Micro Area",23193,23193,1554,81526,0.06700297503557108
21780,"Evansville, IN Metro Area",269721,269721,5081,67671,0.018837984435768812
21820,"Fairbanks-College, AK Metro Area",95555,95555,4673,84722,0.04890377269635288
21860,"Fairmont, MN Micro Area",19864,19864,994,62969,0.05004027386226339
21900,"Fairmont, WV Micro Area",56042,56042,231,67537,0.00412190856857357
21980,"Fallon, NV Micro Area",25614,25614,2724,73268,0.10634809088779573
22020,"Fargo, ND-MN Metro Area",254914,254914,6476,75523,0.02540464627286065
22060,"Faribault-Northfield, MN Micro Area",67389,67389,5262,82792,0.07808396029025509
22100,"Farmington, MO Micro Area",66864,66864,672,54813,0.010050251256281407
22140,"Farmington, NM Metro Area",121178,121178,13441,53020,0.11091947383188368
22180,"Fayetteville, NC Metro Area",389851,389851,18551,58909,0.04758484651828519
22190,"Fayetteville, TN Micro Area",35617,35617,958,63115,0.026897268158463654
22220,"Fayetteville-Springdale-Rogers, AR Metro Area",563436,563436,69316,77979,0.12302373295281097
22260,"Fergus Falls, MN Micro Area",60281,60281,1297,70912,0.021515900532506096
22300,"Findlay, OH Micro Area",74885,74885,3552,69699,0.04743273018628564
22340,"Fitzgerald, GA Micro Area",17138,17138,728,39081,0.04247870229898471
22380,"Flagstaff, AZ Metro Area",144643,144643,15508,69748,0.1072156965770898
22420,"Flint, MI Metro Area",404087,404087,12098,60673,0.02993909727360692
22500,"Florence, SC Metro Area",199675,199675,3149,53874,0.015770627269312634
22520,"Florence-Muscle Shoals, AL Metro Area",152685,152685,3694,58049,0.024193601205095457
22540,"Fond du Lac, WI Metro Area",104053,104053,4897,73154,0.0470625546596446
22580,"Forest City, NC Micro Area",64850,64850,2183,49771,0.03366229760986893
22620,"Forrest City, AR Micro Area",22740,22740,234,41784,0.01029023746701847
22660,"Fort Collins-Loveland, CO Metro Area",363561,363561,32707,91364,0.08996289480994936
22700,"Fort Dodge, IA Micro Area",36848,36848,1235,68054,0.033516066000868434
22780,"Fort Leonard Wood, MO Micro Area",53850,53850,2689,66435,0.04993500464252553
22800,"Fort Madison, IA Micro Area",33175,33175,1049,59803,0.03162019593067068
22820,"Fort Morgan, CO Micro Area",29186,29186,8583,75407,0.29407935311450695
22840,"Fort Payne, AL Micro Area",71946,71946,6243,51149,0.08677341339337837
22900,"Fort Smith, AR-OK Metro Area",228916,228916,17435,56717,0.07616330881196597
23060,"Fort Wayne, IN Metro Area",451440,451440,25616,69378,0.05674286726918306
23140,"Frankfort, IN Micro Area",32967,32967,5734,63690,0.1739315072648406
23180,"Frankfort, KY Micro Area",75661,75661,1089,68277,0.014393148385561914
23190,"Franklin, KY Micro Area",19786,19786,440,57392,0.02223794602244011
23240,"Fredericksburg, TX Micro Area",27202,27202,5313,67799,0.1953165208440556
23300,"Freeport, IL Micro Area",44042,44042,1713,61943,0.03889469143090686
23340,"Fremont, NE Micro Area",37146,37146,3557,71294,0.09575728207613202
23380,"Fremont, OH Micro Area",58770,58770,5135,62500,0.0873745108048324
23420,"Fresno, CA Metro Area",1170942,1170942,595107,71897,0.5082292718170499
23460,"Gadsden, AL Metro Area",103208,103208,2631,53070,0.02549220990620882
23500,"Gaffney, SC Micro Area",56299,56299,1672,49047,0.029698573686921616
23540,"Gainesville, FL Metro Area",344521,344521,6340,58946,0.018402361539644897
23580,"Gainesville, GA Metro Area",208395,208395,41476,77430,0.19902588833705223
23620,"Gainesville, TX Micro Area",42473,42473,7578,72472,0.17841923104089658
23660,"Galesburg, IL Micro Area",49294,49294,2194,53291,0.04450845944739725
23680,"Gallipolis, OH Micro Area",29162,29162,232,56455,0.0079555586036623
23700,"Gallup, NM Micro Area",71172,71172,6807,44496,0.09564154442758388
23780,"Garden City, KS Micro Area",38001,38001,16523,72437,0.4348043472540196
23820,"Gardnerville Ranchos, NV-CA Micro Area",51319,51319,4493,88659,0.08755041992244587
23900,"Gettysburg, PA Metro Area",105183,105183,4406,81071,0.04188889839612865
23940,"Gillette, WY Micro Area",47018,47018,3719,95253,0.07909736696584287
23980,"Glasgow, KY Micro Area",55042,55042,1267,49004,0.02301878565459104
24020,"Glens Falls, NY Metro Area",126443,126443,652,74953,0.005156473667976875
24100,"Gloversville, NY Micro Area",52787,52787,252,62615,0.004773902665428988
24140,"Goldsboro, NC Metro Area",117606,117606,8260,58082,0.07023451184463378
24180,"Granbury, TX Micro Area",64198,64198,7177,86802,0.11179475996136952
24220,"Grand Forks, ND-MN Metro Area",103669,103669,3975,68653,0.03834318841698097
24260,"Grand Island, NE Metro Area",76619,76619,11300,67397,0.14748300030018663
24300,"Grand Junction, CO Metro Area",157316,157316,14748,71485,0.09374761626280861
24330,"Grand Rapids, MN Micro Area",45141,45141,294,66380,0.00651292616468399
24340,"Grand Rapids-Wyoming-Kentwood, MI Metro Area",1154320,1154320,76970,80296,0.06667995010049206
24420,"Grants Pass, OR Metro Area",88069,88069,5381,59097,0.06109981945974179
24460,"Great Bend, KS Micro Area",25275,25275,3891,56733,0.15394658753709198
24500,"Great Falls, MT Metro Area",84601,84601,2905,66203,0.03433765558326734
24540,"Greeley, CO Metro Area",340711,340711,83862,93287,0.2461382227166132
24580,"Green Bay, WI Metro Area",329375,329375,20550,77459,0.06239089184060721
24600,"Greencastle, IN Micro Area",37091,37091,429,76182,0.011566148122185975
24620,"Greeneville, TN Micro Area",70919,70919,1901,54071,0.026805228500119856
24640,"Greenfield, MA Micro Area",70922,70922,524,72584,0.0073883985223202955
24660,"Greensboro-High Point, NC Metro Area",779894,779894,45918,63083,0.05887723203409694
24700,"Greensburg, IN Micro Area",26411,26411,402,74228,0.015220930672825716
24740,"Greenville, MS Micro Area",43674,43674,547,40117,0.01252461418693044
24780,"Greenville, NC Metro Area",172279,172279,9446,58851,0.054829665832748044
24820,"Greenville, OH Micro Area",51655,51655,380,64654,0.007356499854805924
