measure,cells,numerator,denominator,group,n_sample,n_numerator_sample,crude_per_1k,crude_se,std_per_1k,std_se,ratio_std_to_white,ratio_se,ratio_crude_to_white,ratio_crude_se
ba_per_1k_pop,age_educ_sex,ba,pop,USMEX,90722,,237.052522,2.272555,,,,,,
ba_per_1k_pop,age_educ_sex,ba,pop,USWHITE,1007048,,430.012971,1.072615,,,,,,
ba_per_1k_pop,age_educ_sex,ba,pop,FBOTHER,222034,,465.016413,1.71448,,,,,,
creative_selfemp_share,age_educ_sex,creative_selfemp,creative,MEXBORN,67948,,0.378404,0.031988,,,,,,
creative_selfemp_share,age_educ_sex,creative_selfemp,creative,USMEX,90722,,0.256715,0.015962,,,,,,
creative_selfemp_share,age_educ_sex,creative_selfemp,creative,USWHITE,1007048,,0.316113,0.004001,,,,,,
creative_selfemp_share,age_educ_sex,creative_selfemp,creative,FBOTHER,222034,,0.315415,0.010112,,,,,,
creative_earn_per_capita_usd,age_educ_sex,creative_earn,pop,MEXBORN,67948,,354.950517,39.02818,864.875768,109.74446,0.63509,0.078873,0.260645,0.027854
creative_earn_per_capita_usd,age_educ_sex,creative_earn,pop,USMEX,90722,,743.521795,65.463701,905.102556,66.018872,0.664629,0.04936,0.545978,0.048605
creative_earn_per_capita_usd,age_educ_sex,creative_earn,pop,USWHITE,1007048,,1361.816433,17.94408,1361.816433,17.94408,1.0,0.0,1.0,0.0
creative_earn_per_capita_usd,age_educ_sex,creative_earn,pop,FBOTHER,222034,,1068.433246,36.354602,1113.874293,44.464238,0.817933,0.03305,0.784565,0.027597
creative_mean_earn_usd,age_educ_sex,creative_earn,creative,MEXBORN,67948,,60571.44326,5003.843684,,,,,,
creative_mean_earn_usd,age_educ_sex,creative_earn,creative,USMEX,90722,,67217.288505,4845.979904,,,,,,
creative_mean_earn_usd,age_educ_sex,creative_earn,creative,USWHITE,1007048,,77336.889313,740.450358,,,,,,
creative_mean_earn_usd,age_educ_sex,creative_earn,creative,FBOTHER,222034,,80043.117028,2003.854277,,,,,,
all_earn_per_capita_usd,age_educ_sex,emp_earn,pop,MEXBORN,67948,,36308.726548,236.835642,50675.617,500.209983,0.759701,0.007535,0.544321,0.003587
all_earn_per_capita_usd,age_educ_sex,emp_earn,pop,USMEX,90722,,47660.682743,236.729209,59141.974617,431.703827,0.886624,0.006579,0.714503,0.003734
all_earn_per_capita_usd,age_educ_sex,emp_earn,pop,USWHITE,1007048,,66704.681957,119.134462,66704.681957,119.134462,1.0,0.0,1.0,0.0
all_earn_per_capita_usd,age_educ_sex,emp_earn,pop,FBOTHER,222034,,64975.719843,250.554273,62122.402449,254.341561,0.931305,0.003894,0.97408,0.003981
creative_ba_share,age_educ_sex,creative_ba,creative,MEXBORN,67948,,0.410417,0.031212,,,,,,
creative_ba_share,age_educ_sex,creative_ba,creative,USMEX,90722,,0.477912,0.018658,,,,,,
creative_ba_share,age_educ_sex,creative_ba,creative,USWHITE,1007048,,0.694695,0.004635,,,,,,
creative_ba_share,age_educ_sex,creative_ba,creative,FBOTHER,222034,,0.679641,0.011496,,,,,,
