measure,grp,age_grp,educ,sex,n_unw,weighted
ba,USMEX,45-54,3_somecoll,1,2631,0.0
ba,USMEX,45-54,3_somecoll,2,2847,0.0
ba,USMEX,45-54,4_ba,1,1122,128520.0
ba,USMEX,45-54,4_ba,2,1365,148449.0
ba,USMEX,45-54,5_grad,1,631,67351.0
ba,USMEX,45-54,5_grad,2,982,99558.0
ba,USMEX,55-64,1_lths,1,1229,0.0
ba,USMEX,55-64,1_lths,2,1089,0.0
ba,USMEX,55-64,2_hs,1,2135,0.0
ba,USMEX,55-64,2_hs,2,2249,0.0
ba,USMEX,55-64,3_somecoll,1,1842,0.0
ba,USMEX,55-64,3_somecoll,2,2314,0.0
ba,USMEX,55-64,4_ba,1,765,75483.0
ba,USMEX,55-64,4_ba,2,883,85095.0
ba,USMEX,55-64,5_grad,1,417,41260.0
ba,USMEX,55-64,5_grad,2,561,50387.0
ba,USWHITE,25-34,1_lths,1,6229,0.0
ba,USWHITE,25-34,1_lths,2,4259,0.0
ba,USWHITE,25-34,2_hs,1,31275,0.0
ba,USWHITE,25-34,2_hs,2,19612,0.0
ba,USWHITE,25-34,3_somecoll,1,30683,0.0
ba,USWHITE,25-34,3_somecoll,2,28688,0.0
ba,USWHITE,25-34,4_ba,1,33690,3567462.0
ba,USWHITE,25-34,4_ba,2,37401,3835004.0
ba,USWHITE,25-34,5_grad,1,11277,1160241.0
ba,USWHITE,25-34,5_grad,2,19189,1934392.0
ba,USWHITE,35-44,1_lths,1,7013,0.0
ba,USWHITE,35-44,1_lths,2,4374,0.0
ba,USWHITE,35-44,2_hs,1,30187,0.0
ba,USWHITE,35-44,2_hs,2,19389,0.0
ba,USWHITE,35-44,3_somecoll,1,34292,0.0
ba,USWHITE,35-44,3_somecoll,2,32676,0.0
ba,USWHITE,35-44,4_ba,1,31971,3149232.0
ba,USWHITE,35-44,4_ba,2,34734,3357666.0
ba,USWHITE,35-44,5_grad,1,18742,1793634.0
ba,USWHITE,35-44,5_grad,2,26871,2517850.0
ba,USWHITE,45-54,1_lths,1,7308,0.0
ba,USWHITE,45-54,1_lths,2,4684,0.0
ba,USWHITE,45-54,2_hs,1,30817,0.0
ba,USWHITE,45-54,2_hs,2,22752,0.0
ba,USWHITE,45-54,3_somecoll,1,33145,0.0
ba,USWHITE,45-54,3_somecoll,2,34412,0.0
ba,USWHITE,45-54,4_ba,1,27748,2662809.0
ba,USWHITE,45-54,4_ba,2,31202,2890467.0
ba,USWHITE,45-54,5_grad,1,17865,1677768.0
ba,USWHITE,45-54,5_grad,2,23870,2159131.0
ba,USWHITE,55-64,1_lths,1,10558,0.0
ba,USWHITE,55-64,1_lths,2,7659,0.0
ba,USWHITE,55-64,2_hs,1,46976,0.0
ba,USWHITE,55-64,2_hs,2,43091,0.0
ba,USWHITE,55-64,3_somecoll,1,41553,0.0
ba,USWHITE,55-64,3_somecoll,2,50646,0.0
ba,USWHITE,55-64,4_ba,1,31964,2784291.0
ba,USWHITE,55-64,4_ba,2,35641,2923363.0
ba,USWHITE,55-64,5_grad,1,19740,1690859.0
ba,USWHITE,55-64,5_grad,2,22865,1827834.0
creative,FBOTHER,25-34,1_lths,1,2600,1398.0
creative,FBOTHER,25-34,1_lths,2,2094,575.0
creative,FBOTHER,25-34,2_hs,1,4121,3116.0
creative,FBOTHER,25-34,2_hs,2,3526,3764.0
creative,FBOTHER,25-34,3_somecoll,1,3688,7390.0
creative,FBOTHER,25-34,3_somecoll,2,3952,5346.0
creative,FBOTHER,25-34,4_ba,1,5572,16038.0
creative,FBOTHER,25-34,4_ba,2,7109,29071.0
creative,FBOTHER,25-34,5_grad,1,5129,8422.0
creative,FBOTHER,25-34,5_grad,2,5595,16920.0
creative,FBOTHER,35-44,1_lths,1,3630,1944.0
creative,FBOTHER,35-44,1_lths,2,3389,2055.0
creative,FBOTHER,35-44,2_hs,1,4651,5087.0
creative,FBOTHER,35-44,2_hs,2,4563,2692.0
creative,FBOTHER,35-44,3_somecoll,1,4588,9677.0
creative,FBOTHER,35-44,3_somecoll,2,5301,8658.0
creative,FBOTHER,35-44,4_ba,1,6996,20560.0
creative,FBOTHER,35-44,4_ba,2,9037,26529.0
creative,FBOTHER,35-44,5_grad,1,7930,12314.0
creative,FBOTHER,35-44,5_grad,2,8760,17332.0
creative,FBOTHER,45-54,1_lths,1,4056,2757.0
creative,FBOTHER,45-54,1_lths,2,4201,1472.0
creative,FBOTHER,45-54,2_hs,1,4916,4929.0
creative,FBOTHER,45-54,2_hs,2,5740,2908.0
creative,FBOTHER,45-54,3_somecoll,1,4991,12964.0
creative,FBOTHER,45-54,3_somecoll,2,6426,10043.0
creative,FBOTHER,45-54,4_ba,1,6866,17656.0
creative,FBOTHER,45-54,4_ba,2,8872,17372.0
creative,FBOTHER,45-54,5_grad,1,7472,11226.0
creative,FBOTHER,45-54,5_grad,2,7943,12745.0
creative,FBOTHER,55-64,1_lths,1,4332,1981.0
creative,FBOTHER,55-64,1_lths,2,4992,1119.0
creative,FBOTHER,55-64,2_hs,1,5544,3833.0
creative,FBOTHER,55-64,2_hs,2,6679,2946.0
creative,FBOTHER,55-64,3_somecoll,1,5524,8952.0
creative,FBOTHER,55-64,3_somecoll,2,6984,7534.0
creative,FBOTHER,55-64,4_ba,1,5754,10493.0
creative,FBOTHER,55-64,4_ba,2,7254,10452.0
creative,FBOTHER,55-64,5_grad,1,6094,5695.0
creative,FBOTHER,55-64,5_grad,2,5163,7201.0
creative,MEXBORN,25-34,1_lths,1,1979,1020.0
creative,MEXBORN,25-34,1_lths,2,1016,216.0
creative,MEXBORN,25-34,2_hs,1,2374,822.0
creative,MEXBORN,25-34,2_hs,2,1816,864.0
creative,MEXBORN,25-34,3_somecoll,1,1193,1713.0
creative,MEXBORN,25-34,3_somecoll,2,1255,1135.0
creative,MEXBORN,25-34,4_ba,1,776,1998.0
creative,MEXBORN,25-34,4_ba,2,856,3249.0
creative,MEXBORN,25-34,5_grad,1,246,502.0
creative,MEXBORN,25-34,5_grad,2,281,785.0
creative,MEXBORN,35-44,1_lths,1,4141,2087.0
creative,MEXBORN,35-44,1_lths,2,3187,1503.0
creative,MEXBORN,35-44,2_hs,1,2887,2964.0
creative,MEXBORN,35-44,2_hs,2,2513,352.0
creative,MEXBORN,35-44,3_somecoll,1,1327,3107.0
creative,MEXBORN,35-44,3_somecoll,2,1498,876.0
creative,MEXBORN,35-44,4_ba,1,732,1990.0
creative,MEXBORN,35-44,4_ba,2,883,2534.0
creative,MEXBORN,35-44,5_grad,1,323,991.0
creative,MEXBORN,35-44,5_grad,2,419,423.0
creative,MEXBORN,45-54,1_lths,1,5396,1061.0
creative,MEXBORN,45-54,1_lths,2,5065,946.0
creative,MEXBORN,45-54,2_hs,1,2741,2153.0
creative,MEXBORN,45-54,2_hs,2,2894,720.0
creative,MEXBORN,45-54,3_somecoll,1,1259,2136.0
creative,MEXBORN,45-54,3_somecoll,2,1548,1679.0
creative,MEXBORN,45-54,4_ba,1,578,1783.0
creative,MEXBORN,45-54,4_ba,2,813,2704.0
creative,MEXBORN,45-54,5_grad,1,332,358.0
creative,MEXBORN,45-54,5_grad,2,364,964.0
creative,MEXBORN,55-64,1_lths,1,4858,911.0
creative,MEXBORN,55-64,1_lths,2,4405,283.0
creative,MEXBORN,55-64,2_hs,1,1995,1517.0
creative,MEXBORN,55-64,2_hs,2,2027,388.0
creative,MEXBORN,55-64,3_somecoll,1,1070,795.0
creative,MEXBORN,55-64,3_somecoll,2,1260,1214.0
creative,MEXBORN,55-64,4_ba,1,519,926.0
creative,MEXBORN,55-64,4_ba,2,597,535.0
creative,MEXBORN,55-64,5_grad,1,253,1040.0
creative,MEXBORN,55-64,5_grad,2,272,423.0
creative,USMEX,25-34,1_lths,1,2019,1470.0
creative,USMEX,25-34,1_lths,2,1264,1796.0
creative,USMEX,25-34,2_hs,1,6618,2992.0
creative,USMEX,25-34,2_hs,2,4840,2797.0
creative,USMEX,25-34,3_somecoll,1,5931,8277.0
creative,USMEX,25-34,3_somecoll,2,6224,7940.0
creative,USMEX,25-34,4_ba,1,3153,10626.0
creative,USMEX,25-34,4_ba,2,4175,15695.0
creative,USMEX,25-34,5_grad,1,771,1551.0
creative,USMEX,25-34,5_grad,2,1440,2234.0
creative,USMEX,35-44,1_lths,1,1853,1221.0
creative,USMEX,35-44,1_lths,2,1227,392.0
creative,USMEX,35-44,2_hs,1,3903,4179.0
creative,USMEX,35-44,2_hs,2,2961,978.0
creative,USMEX,35-44,3_somecoll,1,3764,8114.0
creative,USMEX,35-44,3_somecoll,2,4041,2809.0
creative,USMEX,35-44,4_ba,1,1800,6444.0
creative,USMEX,35-44,4_ba,2,2352,5768.0
creative,USMEX,35-44,5_grad,1,842,1590.0
creative,USMEX,35-44,5_grad,2,1375,3017.0
creative,USMEX,45-54,1_lths,1,1371,718.0
creative,USMEX,45-54,1_lths,2,1032,359.0
creative,USMEX,45-54,2_hs,1,2508,2238.0
creative,USMEX,45-54,2_hs,2,2196,476.0
creative,USMEX,45-54,3_somecoll,1,2631,5509.0
creative,USMEX,45-54,3_somecoll,2,2847,3419.0
creative,USMEX,45-54,4_ba,1,1122,2528.0
creative,USMEX,45-54,4_ba,2,1365,1723.0
creative,USMEX,45-54,5_grad,1,631,956.0
creative,USMEX,45-54,5_grad,2,982,1466.0
creative,USMEX,55-64,1_lths,1,1229,475.0
creative,USMEX,55-64,1_lths,2,1089,534.0
creative,USMEX,55-64,2_hs,1,2135,766.0
creative,USMEX,55-64,2_hs,2,2249,370.0
creative,USMEX,55-64,3_somecoll,1,1842,1969.0
creative,USMEX,55-64,3_somecoll,2,2314,1763.0
creative,USMEX,55-64,4_ba,1,765,1176.0
creative,USMEX,55-64,4_ba,2,883,762.0
creative,USMEX,55-64,5_grad,1,417,318.0
creative,USMEX,55-64,5_grad,2,561,498.0
creative,USWHITE,25-34,1_lths,1,6229,2145.0
creative,USWHITE,25-34,1_lths,2,4259,2238.0
creative,USWHITE,25-34,2_hs,1,31275,19816.0
creative,USWHITE,25-34,2_hs,2,19612,16481.0
creative,USWHITE,25-34,3_somecoll,1,30683,49154.0
creative,USWHITE,25-34,3_somecoll,2,28688,39483.0
creative,USWHITE,25-34,4_ba,1,33690,121287.0
creative,USWHITE,25-34,4_ba,2,37401,178093.0
creative,USWHITE,25-34,5_grad,1,11277,23031.0
creative,USWHITE,25-34,5_grad,2,19189,39979.0
creative,USWHITE,35-44,1_lths,1,7013,1722.0
creative,USWHITE,35-44,1_lths,2,4374,1337.0
creative,USWHITE,35-44,2_hs,1,30187,18851.0
creative,USWHITE,35-44,2_hs,2,19389,12588.0
creative,USWHITE,35-44,3_somecoll,1,34292,58080.0
creative,USWHITE,35-44,3_somecoll,2,32676,42032.0
creative,USWHITE,35-44,4_ba,1,31971,114746.0
creative,USWHITE,35-44,4_ba,2,34734,133101.0
creative,USWHITE,35-44,5_grad,1,18742,39704.0
creative,USWHITE,35-44,5_grad,2,26871,53501.0
creative,USWHITE,45-54,1_lths,1,7308,3224.0
creative,USWHITE,45-54,1_lths,2,4684,982.0
creative,USWHITE,45-54,2_hs,1,30817,19005.0
creative,USWHITE,45-54,2_hs,2,22752,11299.0
creative,USWHITE,45-54,3_somecoll,1,33145,52149.0
creative,USWHITE,45-54,3_somecoll,2,34412,33164.0
creative,USWHITE,45-54,4_ba,1,27748,85616.0
creative,USWHITE,45-54,4_ba,2,31202,85484.0
creative,USWHITE,45-54,5_grad,1,17865,29954.0
creative,USWHITE,45-54,5_grad,2,23870,42158.0
creative,USWHITE,55-64,1_lths,1,10558,1347.0
creative,USWHITE,55-64,1_lths,2,7659,880.0
creative,USWHITE,55-64,2_hs,1,46976,17778.0
creative,USWHITE,55-64,2_hs,2,43091,13260.0
creative,USWHITE,55-64,3_somecoll,1,41553,44941.0
creative,USWHITE,55-64,3_somecoll,2,50646,37279.0
creative,USWHITE,55-64,4_ba,1,31964,70746.0
creative,USWHITE,55-64,4_ba,2,35641,66109.0
creative,USWHITE,55-64,5_grad,1,19740,24035.0
creative,USWHITE,55-64,5_grad,2,22865,28423.0
creative_ba,FBOTHER,25-34,1_lths,1,2600,0.0
creative_ba,FBOTHER,25-34,1_lths,2,2094,0.0
creative_ba,FBOTHER,25-34,2_hs,1,4121,0.0
creative_ba,FBOTHER,25-34,2_hs,2,3526,0.0
creative_ba,FBOTHER,25-34,3_somecoll,1,3688,0.0
creative_ba,FBOTHER,25-34,3_somecoll,2,3952,0.0
creative_ba,FBOTHER,25-34,4_ba,1,5572,16038.0
creative_ba,FBOTHER,25-34,4_ba,2,7109,29071.0
creative_ba,FBOTHER,25-34,5_grad,1,5129,8422.0
creative_ba,FBOTHER,25-34,5_grad,2,5595,16920.0
creative_ba,FBOTHER,35-44,1_lths,1,3630,0.0
creative_ba,FBOTHER,35-44,1_lths,2,3389,0.0
creative_ba,FBOTHER,35-44,2_hs,1,4651,0.0
creative_ba,FBOTHER,35-44,2_hs,2,4563,0.0
creative_ba,FBOTHER,35-44,3_somecoll,1,4588,0.0
creative_ba,FBOTHER,35-44,3_somecoll,2,5301,0.0
creative_ba,FBOTHER,35-44,4_ba,1,6996,20560.0
creative_ba,FBOTHER,35-44,4_ba,2,9037,26529.0
creative_ba,FBOTHER,35-44,5_grad,1,7930,12314.0
creative_ba,FBOTHER,35-44,5_grad,2,8760,17332.0
creative_ba,FBOTHER,45-54,1_lths,1,4056,0.0
creative_ba,FBOTHER,45-54,1_lths,2,4201,0.0
creative_ba,FBOTHER,45-54,2_hs,1,4916,0.0
creative_ba,FBOTHER,45-54,2_hs,2,5740,0.0
creative_ba,FBOTHER,45-54,3_somecoll,1,4991,0.0
creative_ba,FBOTHER,45-54,3_somecoll,2,6426,0.0
creative_ba,FBOTHER,45-54,4_ba,1,6866,17656.0
creative_ba,FBOTHER,45-54,4_ba,2,8872,17372.0
creative_ba,FBOTHER,45-54,5_grad,1,7472,11226.0
creative_ba,FBOTHER,45-54,5_grad,2,7943,12745.0
creative_ba,FBOTHER,55-64,1_lths,1,4332,0.0
creative_ba,FBOTHER,55-64,1_lths,2,4992,0.0
creative_ba,FBOTHER,55-64,2_hs,1,5544,0.0
creative_ba,FBOTHER,55-64,2_hs,2,6679,0.0
creative_ba,FBOTHER,55-64,3_somecoll,1,5524,0.0
creative_ba,FBOTHER,55-64,3_somecoll,2,6984,0.0
creative_ba,FBOTHER,55-64,4_ba,1,5754,10493.0
creative_ba,FBOTHER,55-64,4_ba,2,7254,10452.0
creative_ba,FBOTHER,55-64,5_grad,1,6094,5695.0
creative_ba,FBOTHER,55-64,5_grad,2,5163,7201.0
creative_ba,MEXBORN,25-34,1_lths,1,1979,0.0
creative_ba,MEXBORN,25-34,1_lths,2,1016,0.0
creative_ba,MEXBORN,25-34,2_hs,1,2374,0.0
creative_ba,MEXBORN,25-34,2_hs,2,1816,0.0
creative_ba,MEXBORN,25-34,3_somecoll,1,1193,0.0
creative_ba,MEXBORN,25-34,3_somecoll,2,1255,0.0
creative_ba,MEXBORN,25-34,4_ba,1,776,1998.0
creative_ba,MEXBORN,25-34,4_ba,2,856,3249.0
creative_ba,MEXBORN,25-34,5_grad,1,246,502.0
creative_ba,MEXBORN,25-34,5_grad,2,281,785.0
creative_ba,MEXBORN,35-44,1_lths,1,4141,0.0
creative_ba,MEXBORN,35-44,1_lths,2,3187,0.0
creative_ba,MEXBORN,35-44,2_hs,1,2887,0.0
creative_ba,MEXBORN,35-44,2_hs,2,2513,0.0
creative_ba,MEXBORN,35-44,3_somecoll,1,1327,0.0
creative_ba,MEXBORN,35-44,3_somecoll,2,1498,0.0
creative_ba,MEXBORN,35-44,4_ba,1,732,1990.0
creative_ba,MEXBORN,35-44,4_ba,2,883,2534.0
creative_ba,MEXBORN,35-44,5_grad,1,323,991.0
creative_ba,MEXBORN,35-44,5_grad,2,419,423.0
creative_ba,MEXBORN,45-54,1_lths,1,5396,0.0
creative_ba,MEXBORN,45-54,1_lths,2,5065,0.0
creative_ba,MEXBORN,45-54,2_hs,1,2741,0.0
creative_ba,MEXBORN,45-54,2_hs,2,2894,0.0
creative_ba,MEXBORN,45-54,3_somecoll,1,1259,0.0
creative_ba,MEXBORN,45-54,3_somecoll,2,1548,0.0
creative_ba,MEXBORN,45-54,4_ba,1,578,1783.0
creative_ba,MEXBORN,45-54,4_ba,2,813,2704.0
creative_ba,MEXBORN,45-54,5_grad,1,332,358.0
creative_ba,MEXBORN,45-54,5_grad,2,364,964.0
creative_ba,MEXBORN,55-64,1_lths,1,4858,0.0
creative_ba,MEXBORN,55-64,1_lths,2,4405,0.0
creative_ba,MEXBORN,55-64,2_hs,1,1995,0.0
creative_ba,MEXBORN,55-64,2_hs,2,2027,0.0
creative_ba,MEXBORN,55-64,3_somecoll,1,1070,0.0
creative_ba,MEXBORN,55-64,3_somecoll,2,1260,0.0
creative_ba,MEXBORN,55-64,4_ba,1,519,926.0
creative_ba,MEXBORN,55-64,4_ba,2,597,535.0
creative_ba,MEXBORN,55-64,5_grad,1,253,1040.0
creative_ba,MEXBORN,55-64,5_grad,2,272,423.0
creative_ba,USMEX,25-34,1_lths,1,2019,0.0
creative_ba,USMEX,25-34,1_lths,2,1264,0.0
creative_ba,USMEX,25-34,2_hs,1,6618,0.0
creative_ba,USMEX,25-34,2_hs,2,4840,0.0
creative_ba,USMEX,25-34,3_somecoll,1,5931,0.0
creative_ba,USMEX,25-34,3_somecoll,2,6224,0.0
creative_ba,USMEX,25-34,4_ba,1,3153,10626.0
creative_ba,USMEX,25-34,4_ba,2,4175,15695.0
creative_ba,USMEX,25-34,5_grad,1,771,1551.0
creative_ba,USMEX,25-34,5_grad,2,1440,2234.0
creative_ba,USMEX,35-44,1_lths,1,1853,0.0
creative_ba,USMEX,35-44,1_lths,2,1227,0.0
creative_ba,USMEX,35-44,2_hs,1,3903,0.0
creative_ba,USMEX,35-44,2_hs,2,2961,0.0
creative_ba,USMEX,35-44,3_somecoll,1,3764,0.0
creative_ba,USMEX,35-44,3_somecoll,2,4041,0.0
creative_ba,USMEX,35-44,4_ba,1,1800,6444.0
creative_ba,USMEX,35-44,4_ba,2,2352,5768.0
creative_ba,USMEX,35-44,5_grad,1,842,1590.0
creative_ba,USMEX,35-44,5_grad,2,1375,3017.0
creative_ba,USMEX,45-54,1_lths,1,1371,0.0
creative_ba,USMEX,45-54,1_lths,2,1032,0.0
creative_ba,USMEX,45-54,2_hs,1,2508,0.0
creative_ba,USMEX,45-54,2_hs,2,2196,0.0
creative_ba,USMEX,45-54,3_somecoll,1,2631,0.0
creative_ba,USMEX,45-54,3_somecoll,2,2847,0.0
creative_ba,USMEX,45-54,4_ba,1,1122,2528.0
creative_ba,USMEX,45-54,4_ba,2,1365,1723.0
creative_ba,USMEX,45-54,5_grad,1,631,956.0
creative_ba,USMEX,45-54,5_grad,2,982,1466.0
creative_ba,USMEX,55-64,1_lths,1,1229,0.0
creative_ba,USMEX,55-64,1_lths,2,1089,0.0
creative_ba,USMEX,55-64,2_hs,1,2135,0.0
creative_ba,USMEX,55-64,2_hs,2,2249,0.0
creative_ba,USMEX,55-64,3_somecoll,1,1842,0.0
creative_ba,USMEX,55-64,3_somecoll,2,2314,0.0
creative_ba,USMEX,55-64,4_ba,1,765,1176.0
creative_ba,USMEX,55-64,4_ba,2,883,762.0
creative_ba,USMEX,55-64,5_grad,1,417,318.0
creative_ba,USMEX,55-64,5_grad,2,561,498.0
creative_ba,USWHITE,25-34,1_lths,1,6229,0.0
creative_ba,USWHITE,25-34,1_lths,2,4259,0.0
creative_ba,USWHITE,25-34,2_hs,1,31275,0.0
creative_ba,USWHITE,25-34,2_hs,2,19612,0.0
creative_ba,USWHITE,25-34,3_somecoll,1,30683,0.0
creative_ba,USWHITE,25-34,3_somecoll,2,28688,0.0
creative_ba,USWHITE,25-34,4_ba,1,33690,121287.0
creative_ba,USWHITE,25-34,4_ba,2,37401,178093.0
creative_ba,USWHITE,25-34,5_grad,1,11277,23031.0
creative_ba,USWHITE,25-34,5_grad,2,19189,39979.0
creative_ba,USWHITE,35-44,1_lths,1,7013,0.0
creative_ba,USWHITE,35-44,1_lths,2,4374,0.0
creative_ba,USWHITE,35-44,2_hs,1,30187,0.0
creative_ba,USWHITE,35-44,2_hs,2,19389,0.0
creative_ba,USWHITE,35-44,3_somecoll,1,34292,0.0
creative_ba,USWHITE,35-44,3_somecoll,2,32676,0.0
creative_ba,USWHITE,35-44,4_ba,1,31971,114746.0
creative_ba,USWHITE,35-44,4_ba,2,34734,133101.0
creative_ba,USWHITE,35-44,5_grad,1,18742,39704.0
creative_ba,USWHITE,35-44,5_grad,2,26871,53501.0
creative_ba,USWHITE,45-54,1_lths,1,7308,0.0
creative_ba,USWHITE,45-54,1_lths,2,4684,0.0
creative_ba,USWHITE,45-54,2_hs,1,30817,0.0
creative_ba,USWHITE,45-54,2_hs,2,22752,0.0
creative_ba,USWHITE,45-54,3_somecoll,1,33145,0.0
creative_ba,USWHITE,45-54,3_somecoll,2,34412,0.0
creative_ba,USWHITE,45-54,4_ba,1,27748,85616.0
creative_ba,USWHITE,45-54,4_ba,2,31202,85484.0
creative_ba,USWHITE,45-54,5_grad,1,17865,29954.0
creative_ba,USWHITE,45-54,5_grad,2,23870,42158.0
creative_ba,USWHITE,55-64,1_lths,1,10558,0.0
creative_ba,USWHITE,55-64,1_lths,2,7659,0.0
creative_ba,USWHITE,55-64,2_hs,1,46976,0.0
creative_ba,USWHITE,55-64,2_hs,2,43091,0.0
creative_ba,USWHITE,55-64,3_somecoll,1,41553,0.0
creative_ba,USWHITE,55-64,3_somecoll,2,50646,0.0
creative_ba,USWHITE,55-64,4_ba,1,31964,70746.0
creative_ba,USWHITE,55-64,4_ba,2,35641,66109.0
creative_ba,USWHITE,55-64,5_grad,1,19740,24035.0
creative_ba,USWHITE,55-64,5_grad,2,22865,28423.0
