measure,eta,convention,group,most_costly_weighted,most_costly_variant,most_costly_unweighted,least_costly_weighted,least_costly_variant,least_costly_unweighted,most_costly_equal_split,least_costly_equal_split
spm,1.3,b,wages_b,-76.50796873400724,below_ba_s1.5,1.237962106794952,-47.829296122567335,hs_or_less_s2.5,-2.5418155720324775,-34.18891374101705,-21.37335112258924
spm,1.3,b,housing,-103.97244915157516,national_uniform_high_intp,1.0805152632490604,-39.08192123208362,metro_local_low_scf,2.300981876715147,-46.46189350345992,-17.46443482877376
spm,1.3,b,crime,-135.56870821787555,envelope_high,-45.34239999999999,-46.07387868235119,envelope_low,-15.4099,-60.581230268395,-20.58891237148762
spm,1.3,b,unreimbursed_care,-9.117004878415242,high,-5.5581,-5.3203442405030215,low,-3.2435000000000005,-4.074091869413621,-2.3774881665394796
spm,1.3,b,TOTAL,-882.0982489800255,,-297.45680596186816,-601.4713647572892,,-225.86796599856635,-394.18091271419775,-268.77791879263907
spm,1.4,a,fiscal_a,-201.36873085859534,A=-258.43,-248.87478333191214,-167.46589283570745,A=-216.53,-206.97373230324902,-81.8535118142523,-68.07249258246384
spm,1.4,a,wages_a,-89.54285091019176,below_ba_s1.5,1.2379621067949491,-49.150018084631775,hs_or_less_s2.5,-2.5418155720324775,-36.39788945189333,-19.978780065839587
spm,1.4,a,housing,-118.56307701050687,national_uniform_high_intp,1.0805152632490604,-44.58426317581877,metro_local_low_scf,2.300981876715147,-48.19419670290574,-18.122865933709804
spm,1.4,a,crime,-152.04866985453737,envelope_high,-45.34239999999999,-51.67469736033901,envelope_low,-15.4099,-61.80561173134335,-21.005026117250697
spm,1.4,a,unreimbursed_care,-9.787522569349187,high,-5.5581,-5.711633373578037,low,-3.2435000000000005,-3.9784880743230264,-2.3216973550434026
spm,1.4,a,TOTAL,-571.3108512031805,,-297.4568059618681,-318.586504830075,,-225.86796599856635,-232.22969777471775,-129.5008620543073
spm,1.4,b,fiscal_b,-612.2596105098198,A=-258.43,-248.87478333191217,-509.1783708627019,A=-216.53,-206.97373230324902,-248.87478333191217,-206.97373230324902
spm,1.4,b,wages_b,-84.25403235775539,below_ba_s1.5,1.237962106794952,-53.15090837344324,hs_or_less_s2.5,-2.5418155720324775,-34.24806028020687,-21.605084801070415
spm,1.4,b,housing,-118.56307701050687,national_uniform_high_intp,1.0805152632490604,-44.58426317581877,metro_local_low_scf,2.300981876715147,-48.19419670290574,-18.122865933709804
spm,1.4,b,crime,-152.04866985453737,envelope_high,-45.34239999999999,-51.67469736033901,envelope_low,-15.4099,-61.80561173134335,-21.005026117250697
spm,1.4,b,unreimbursed_care,-9.787522569349187,high,-5.5581,-5.711633373578037,low,-3.2435000000000005,-3.9784880743230264,-2.3216973550434026
spm,1.4,b,TOTAL,-976.9129123019686,,-297.45680596186816,-664.299873145881,,-225.86796599856635,-397.1011401206911,-270.02840651032335
spm,2.0,a,fiscal_a,-273.365679941304,A=-258.43,-248.87478333191214,-227.34129309360267,A=-216.53,-206.97373230324902,-58.20209264919145,-48.40307315264271
spm,2.0,a,wages_a,-158.9547858096538,below_ba_s1.5,1.2379621067949491,-90.62228018599527,hs_or_less_s2.5,-2.5418155720324775,-33.84295048563631,-19.29432527374608
spm,2.0,a,housing,-263.7996650142685,national_uniform_high_intp,1.0805152632490604,-98.75464748172733,metro_local_low_scf,2.300981876715147,-56.16539920915752,-21.025781815419787
spm,2.0,a,crime,-322.1739695703711,envelope_high,-45.34239999999999,-109.49285114335507,envelope_low,-15.4099,-68.5938309085424,-23.312045125920722
spm,2.0,a,unreimbursed_care,-16.447543678026687,high,-5.5581,-9.59817346209668,low,-3.2435000000000005,-3.501834836054314,-2.043540290880367
spm,2.0,a,TOTAL,-1034.7416440136242,,-297.4568059618681,-535.8092453667771,,-225.86796599856635,-220.30610808858202,-114.07876565860968
spm,2.0,b,fiscal_b,-1168.9240243618285,A=-258.43,-248.87478333191217,-972.1216623961562,A=-216.53,-206.97373230324902,-248.8747833319121,-206.973732303249
spm,2.0,b,wages_b,-147.42752681870004,below_ba_s1.5,1.237962106794952,-99.34243159528798,hs_or_less_s2.5,-2.5418155720324775,-31.388689965710135,-21.150926513329654
spm,2.0,b,housing,-263.7996650142685,national_uniform_high_intp,1.0805152632490604,-98.75464748172733,metro_local_low_scf,2.300981876715147,-56.16539920915752,-21.025781815419787
spm,2.0,b,crime,-322.1739695703711,envelope_high,-45.34239999999999,-109.49285114335507,envelope_low,-15.4099,-68.5938309085424,-23.312045125920722
spm,2.0,b,unreimbursed_care,-16.447543678026687,high,-5.5581,-9.59817346209668,low,-3.2435000000000005,-3.501834836054314,-2.043540290880367
spm,2.0,b,TOTAL,-1918.772729443195,,-297.45680596186816,-1289.3097660786232,,-225.86796599856635,-408.5245382513765,-274.5060260487995
money,0.0,a,fiscal_a,-248.87478333191214,A=-258.43,-248.87478333191214,-206.97373230324902,A=-216.53,-206.97373230324902,-248.87478333191214,-206.97373230324902
money,0.0,a,wages_a,-3.0906534461507227,below_ba_s2.5,-3.0906534461507227,6.610208154537879,below_ba_s2.0_eps3,6.610208154537879,-3.0906534461507227,6.610208154537879
money,0.0,a,housing,0.453142830965314,national_uniform_low_scf,0.453142830965314,5.168223296244827,metro_local_high_intp,5.168223296244827,0.453142830965314,5.168223296244827
money,0.0,a,crime,-45.34239999999999,envelope_high,-45.34239999999999,-15.4099,envelope_low,-15.4099,-45.34239999999999,-15.4099
money,0.0,a,unreimbursed_care,-5.5581,high,-5.5581,-3.2435000000000005,low,-3.2435000000000005,-5.5581,-3.2435000000000005
money,0.0,a,TOTAL,-302.41279394709755,,-302.41279394709755,-213.84870085246632,,-213.84870085246632,-302.41279394709755,-213.84870085246632
money,0.0,b,fiscal_b,-248.87478333191217,A=-258.43,-248.87478333191217,-206.97373230324902,A=-216.53,-206.97373230324902,-248.87478333191217,-206.97373230324902
money,0.0,b,wages_b,-3.0906534461507222,below_ba_s2.5,-3.0906534461507222,6.61020815453788,below_ba_s2.0_eps3,6.61020815453788,-3.0906534461507222,6.61020815453788
money,0.0,b,housing,0.453142830965314,national_uniform_low_scf,0.453142830965314,5.168223296244827,metro_local_high_intp,5.168223296244827,0.453142830965314,5.168223296244827
money,0.0,b,crime,-45.34239999999999,envelope_high,-45.34239999999999,-15.4099,envelope_low,-15.4099,-45.34239999999999,-15.4099
money,0.0,b,unreimbursed_care,-5.5581,high,-5.5581,-3.2435000000000005,low,-3.2435000000000005,-5.5581,-3.2435000000000005
money,0.0,b,TOTAL,-302.4127939470976,,-302.41279394709755,-213.84870085246632,,-213.84870085246632,-302.4127939470976,-213.84870085246632
money,1.0,a,fiscal_a,-178.7408884957551,A=-258.43,-248.87478333191214,-148.6477187920936,A=-216.53,-206.97373230324902,-87.89653597363727,-73.09810123562559
money,1.0,a,wages_a,-67.08843608167977,below_ba_s1.5,1.2379621067949513,-36.09817437911449,hs_or_less_s2.5,-2.5418155720324775,-32.991002702822946,-17.751419440727584
money,1.0,a,housing,-89.02234695941998,national_uniform_high_intp,1.0805152632490687,-33.343441458864014,metro_local_low_scf,2.3009818767151486,-43.77708977407319,-16.396768676370947
money,1.0,a,crime,-122.49938234371595,envelope_high,-45.34239999999999,-41.63218603290582,envelope_low,-15.4099,-60.23955378949841,-20.47279146981174
