measure,channel,eta,unweighted_bn,person_p1,person_p2,person_p3,person_p5,person_p10,quintile_bins,decile_bins,quintile_bins_floored_p5,decile_bins_floored_p5,equal_split_p1,equal_split_p2,equal_split_p3,equal_split_p5,equal_split_p10,median_normalized_p5
spm,landlords_scf_metro_local_low,1.4,24.44721097053558,,32.8237494321434,18.443928477059536,15.332167764631805,14.027121344548096,16.35938371050363,17.353122920879997,15.822045256540187,15.577967634046752,,7.538125401105989,6.303989492336642,6.232307120918714,6.591979474828098,10.501298438913842
spm,landlords_scf_metro_local_low,2.0,24.44721097053558,,147.86427751000127,36.24445455289205,21.31282727754529,16.716537239161312,20.227649248812927,27.399946283144516,18.502916890331516,20.14816966286174,,8.274988897953198,5.250907506703604,4.537698909717747,4.724882771004153,12.411957017585609
spm,landlords_mid_metro_local_low,0.0,24.447210970535394,24.447210970535384,24.447210970535384,24.447210970535384,24.447210970535384,24.447210970535384,24.447210970535394,24.447210970535345,24.447210970535394,24.447210970535345,24.447210970535384,24.447210970535384,24.447210970535384,24.447210970535384,24.447210970535384,24.447210970535384
spm,landlords_mid_metro_local_low,1.0,24.447210970535394,,16.13159627248121,14.411712690654152,13.880422512547264,13.57791441740395,15.892405114395125,15.141625268513565,15.712367542743397,14.738895542257227,,7.281493244765932,7.673025577213114,8.033142469049999,8.504123258218915,10.592592978802987
spm,landlords_mid_metro_local_low,1.3,24.447210970535394,,20.117764208126687,14.965123091242047,13.705470227469602,13.09051042940688,15.41049244283741,15.172199027729532,15.05973338532862,14.288305119224924,,5.593043752248265,5.77314448329809,6.124527250437344,6.638771045193675,9.644360129654268
spm,landlords_mid_metro_local_low,1.4,24.447210970535394,,22.87404966802511,15.534543967133958,13.87632132222316,13.107379685532836,15.457148135556183,15.48829414436805,15.024862135395233,14.354627007720547,,5.253130974118593,5.309584780642496,5.640526344105288,6.159751222897462,9.504161034232482
spm,landlords_mid_metro_local_low,2.0,24.447210970535394,,82.57906127370984,25.658967445012113,17.71530861789328,15.014893636513314,18.30442516438368,21.972002317383982,16.91688692457101,17.34080137530237,,4.621405702246953,3.717337353626329,3.771753768465125,4.243917938065801,10.316869097429304
spm,owner_value_stock_metro_local_low,0.0,1263.8331911911698,1263.8331911911673,1263.8331911911673,1263.8331911911673,1263.8331911911673,1263.8331911911673,1263.8331911911698,1263.833191191167,1263.8331911911698,1263.833191191167,1263.8331911911673,1263.8331911911673,1263.8331911911673,1263.8331911911673,1263.8331911911673,1263.8331911911673
spm,owner_value_stock_metro_local_low,1.0,1263.8331911911698,,1923.2201485077871,1634.3077535271968,1515.1922350248153,1423.6364430661895,1514.1803046730754,1623.2667288765902,1457.1639344853306,1494.2650241533781,,868.104698568881,870.1315008856653,876.9009070833343,891.6523859665043,1156.2915045094894
spm,owner_value_stock_metro_local_low,1.3,1263.8331911911698,,2964.092998197978,2102.881362588366,1821.6626507137462,1635.8725816806368,1808.7759426067284,2062.925069899014,1697.6935274966597,1779.7976681760515,,824.0628358670756,811.2354214154212,814.0415731989162,829.6226176552309,1281.8801797118367
spm,owner_value_stock_metro_local_low,1.4,1263.8331911911698,,3555.264326113035,2330.5665320589956,1960.8865690039863,1728.7155116117613,1941.4840364146316,2271.8846607198643,1804.5827308369526,1908.7503210333894,,816.4828451338988,796.5692855274854,797.0723719517615,812.4016960037792,1343.0491618719375
spm,owner_value_stock_metro_local_low,2.0,1263.8331911911698,,14582.213744125667,5174.825530896593,3418.530113237244,2606.1728819885734,3287.470836896438,4713.48738509413,2848.0492583614327,3230.028932702646,,816.0703779995725,749.7017284785765,727.8368170335286,736.6275187374781,1990.8503117053226
spm,renters_national_uniform_low,0.0,-21.59298582317006,-21.59298582317008,-21.59298582317008,-21.59298582317008,-21.59298582317008,-21.59298582317008,-21.59298582317006,-21.592985823170103,-21.59298582317006,-21.592985823170103,-21.59298582317008,-21.59298582317008,-21.59298582317008,-21.59298582317008,-21.59298582317008,-21.59298582317008
spm,renters_national_uniform_low,1.0,-21.59298582317006,,-59.528986316799134,-46.77260954645266,-41.55692299575861,-37.44157176446593,-41.121738537344086,-46.65654764580072,-38.65105265348771,-40.74245051440439,,-26.87024299467332,-24.902482936373573,-24.050613927529916,-23.45041598276223,-31.71341292728031
spm,renters_national_uniform_low,1.3,-21.59298582317006,,-106.089959429277,-68.02251798147134,-55.70831974458121,-47.362179517611686,-54.642546377167605,-67.03388461170509,-49.829020822078654,-54.053878200610114,,-29.49461871724772,-26.2412692518778,-24.894229580531267,-24.01943512549738,-39.201215931856815
spm,renters_national_uniform_low,1.4,-21.59298582317006,,-132.26982741134864,-78.11559745204983,-61.92757597628444,-51.49996809992795,-60.49615349233149,-76.4935997356035,-54.56381998778681,-59.84566658418325,,-30.376375735825974,-26.69929598446531,-25.172674775222866,-24.202166954303472,-42.415395324960514
spm,renters_national_uniform_low,2.0,-21.59298582317006,,-619.38232624471,-202.5048883210579,-125.59233809050747,-89.15058990440674,-118.01274589086093,-185.70474855023727,-98.97132519758635,-117.69543505582803,,-34.66274586109366,-29.33785185475695,-26.73977545075084,-25.198166356929168,-73.1412440882409
spm,landlords_intp_national_uniform_low,0.0,22.04612865413548,22.046128654135384,22.046128654135384,22.046128654135384,22.046128654135384,22.046128654135384,22.046128654135476,22.046128654135398,22.046128654135476,22.046128654135398,22.046128654135384,22.046128654135384,22.046128654135384,22.046128654135384,22.046128654135384,22.046128654135384
spm,landlords_intp_national_uniform_low,1.0,22.04612865413548,,11.905560431968036,11.840366735886702,11.780197535721515,11.696703340019017,13.852441312477394,12.806210872081456,13.729541049605299,12.648539003544354,,5.373941697785494,6.304000000427308,6.817660271685509,7.3258825958457425,8.9898443360062
spm,landlords_intp_national_uniform_low,1.3,22.04612865413548,,11.555012982450432,11.364155138695354,11.223334156882382,11.05495975216916,13.181252406846024,12.266565369017943,12.941811383635658,11.920513922957621,,3.2124689652409413,4.383987298086273,5.015341666046667,5.606454164202317,7.8977134434597
spm,landlords_intp_national_uniform_low,1.4,22.04612865413548,,11.654985147221977,11.385179684015899,11.200598198128564,10.990629411529756,13.125402126549645,12.285437000437376,12.8303078161327,11.84159736288218,,2.676621077961048,3.891364748332794,4.552883126531737,5.164994421639136,7.671506480918897
spm,landlords_intp_national_uniform_low,2.0,22.04612865413548,,15.595330407182926,13.59303877970005,12.731211511471306,12.005689459014775,14.772321756997107,14.91918400512032,13.825137161839717,13.106032259664081,,0.8727678392140512,1.9692885504203266,2.7105931954816227,3.3933747442643845,7.414279110151588
spm,landlords_scf_national_uniform_low,0.0,22.046128654135437,22.04612865413539,22.04612865413539,22.04612865413539,22.04612865413539,22.04612865413539,22.046128654135437,22.04612865413532,22.046128654135437,22.04612865413532,22.04612865413539,22.04612865413539,22.04612865413539,22.04612865413539,22.04612865413539,22.04612865413539
spm,landlords_scf_national_uniform_low,1.0,22.046128654135437,,17.18890332901642,14.152166521794681,13.254116673305223,12.792016331251668,14.81062444155629,14.502770844048191,14.608814333826535,13.93409144342884,,7.758741376926155,7.534839059422077,7.6706748257717585,8.011899343147634,10.114639023918578
spm,landlords_scf_national_uniform_low,1.3,22.046128654135437,,24.72878384823631,15.626492538221983,13.495441352060675,12.554692688170952,14.612650090076308,15.09755826329413,14.219472585327628,13.849445135981657,,6.8749771879325,6.028283138087279,6.0306722020901145,6.367034406259625,9.496565557235284
spm,landlords_scf_national_uniform_low,1.4,22.046128654135437,,29.599965565163583,16.632458425748233,13.826319226894526,12.64944791378399,14.752647180032524,15.648786314554698,14.268083411135953,14.047977867253227,,6.797768571804865,5.684843295616541,5.620201206814763,5.944548347974495,9.469913631407405
spm,landlords_scf_national_uniform_low,2.0,22.046128654135437,,133.34179057337587,32.68470620370821,19.219588390284166,15.07472288231023,18.240991099046777,24.70886112950224,16.685653293239028,18.169317598974754,,7.4622610356531425,4.73518973527383,4.092028905789597,4.260828508037539,11.192916917561105
spm,landlords_mid_national_uniform_low,0.0,22.04612865413556,22.046128654135384,22.046128654135384,22.046128654135384,22.046128654135384,22.046128654135384,22.046128654135558,22.046128654135458,22.046128654135558,22.046128654135458,22.046128654135384,22.046128654135384,22.046128654135384,22.046128654135384,22.046128654135384,22.046128654135384
spm,landlords_mid_national_uniform_low,1.0,22.04612865413556,,14.547231880492227,12.996266628840692,12.517157104513368,12.244359835635342,14.331532877016876,13.654490858064865,14.169177691715952,13.291315223486642,,6.566341537355824,6.919419529924693,7.244167548728633,7.668890969496688,9.552241679962387
spm,landlords_mid_national_uniform_low,1.3,22.04612865413556,,18.14189841534337,13.495323838458667,12.359387754471527,11.804826220170055,13.896951248461185,13.68206181615607,13.580641984481666,12.884979529469673,,5.04372307658672,5.206135218086775,5.523006934068389,5.98674428523097,8.697139500347491
