measure,channel,net_bn,gross_loss_bn,gross_gain_bn,loss_share_bottom2,gain_share_top2,net_share_q1,net_share_q5,pct_resources_q1,pct_resources_q5
spm,crime_intangible,-27.30522806367839,-27.30522806367839,0.0,0.5226769277977484,,0.32227490902055084,0.15099909493389307,-1.5507890015695411,-0.07682888758231342
spm,crime_all_violent_key,-32.33810000000007,-32.33810000000007,0.0,0.48043549495315546,,0.2815103051194822,0.1703016588149994,-1.6043133842685757,-0.10262136107108975
spm,crime_dollar_brackets,-32.33809999999987,-32.33809999999987,0.0,0.5064770884531609,,0.3156755167511632,0.16709375497251625,-1.7990192451208353,-0.10068832377250116
spm,crime_race_mix,-32.33810000000007,-32.33810000000007,0.0,0.5497426646579994,,0.34298447675730803,0.1397292836861154,-1.9546516651479502,-0.0841988819905414
spm,wages_account_split,-0.1556695560460497,-76.28851785599667,76.13284829995068,0.276789542069258,0.792052328320158,31.679853389389926,-146.46259250565583,-0.8690950160811414,0.4248491919868452
spm,wages_eps3,3.405720575948436,-86.14594995699434,89.55167053294275,0.26962808822098283,0.8535608362239872,-1.9269878347850053,9.67080598149362,-1.1565606061424372,0.6137281959662344
spm,wages_short_run_pretax,24.28741254555686,-287.58936491246754,311.87677745802443,0.22579734462425013,0.8970724361389123,-0.5405167352486749,6.115803391120389,-2.3135069273382305,2.7678283778878012
spm,renters_metro_local_low,-22.14622599503212,-22.14622599503212,0.0,0.42477899159552124,,0.23017586138326193,0.20705029839157807,-0.8983382961145935,-0.08544368705150795
spm,landlords_intp_metro_local_low,24.447210970535355,0.0,24.447210970535355,,0.8930421796585337,0.012237728174261057,0.7783125155180363,0.05272426476125411,0.3545583576121542
spm,landlords_scf_metro_local_low,24.44721097053558,0.0,24.44721097053558,,0.868055958615832,0.020095133919976728,0.756644922035703,0.08657662158554165,0.34468773854162815
spm,landlords_mid_metro_local_low,24.447210970535394,0.0,24.447210970535394,,0.8805490691371823,0.01616643104711894,0.7674787187768675,0.06965044317339779,0.34962304807688915
spm,owner_value_stock_metro_local_low,1263.8331911911698,0.0,1263.8331911911698,,0.6331027123716689,0.0990353262993997,0.42193311764155345,22.057703929694423,9.936599001150704
spm,renters_national_uniform_low,-21.59298582317006,-21.59298582317006,0.0,0.4574540322318076,,0.25118006145060756,0.1855796854722463,-0.9558247491015015,-0.07467023643603775
spm,landlords_intp_national_uniform_low,22.04612865413548,0.0,22.04612865413548,,0.8930421796585342,0.01223772817426103,0.7783125155180363,0.047545952195619856,0.31973541590234644
spm,landlords_scf_national_uniform_low,22.046128654135437,0.0,22.046128654135437,,0.8680559586158311,0.02009513391997684,0.7566449220357013,0.07807350049932694,0.31083423947828925
spm,landlords_mid_national_uniform_low,22.04612865413556,0.0,22.04612865413556,,0.8805490691371831,0.016166431047118835,0.7674787187768704,0.06280972634747332,0.3152848276903199
spm,owner_value_stock_national_uniform_low,1232.3383946047843,0.0,1232.3383946047843,,0.6066696807593115,0.10246353880744802,0.3914581229119807,22.25254767512337,8.989171813262974
spm,renters_metro_local_central,-33.85640156627464,-33.85640156627464,0.0,0.42467902050370526,,0.2301520809068103,0.20727466136342226,-1.3732073287343858,-0.13076496562502615
spm,landlords_intp_metro_local_central,37.363984721864625,0.0,37.363984721864625,,0.893042179658534,0.012237728174260998,0.7783125155180365,0.08058132379130423,0.5418905687359005
spm,landlords_scf_metro_local_central,37.36398472186466,0.0,37.36398472186466,,0.8680559586158312,0.02009513391997667,0.7566449220357022,0.1323196977394088,0.526804771808345
spm,landlords_mid_metro_local_central,37.36398472186478,0.0,37.36398472186478,,0.8805490691371823,0.01616643104711896,0.7674787187768688,0.10645051076535773,0.5343476702721243
spm,owner_value_stock_metro_local_central,1931.569629985714,0.0,1931.569629985714,,0.6332784952872198,0.09892285803236955,0.4221672927718422,33.6734359704603,15.194952416508444
spm,renters_national_uniform_central,-33.47498236768485,-33.47498236768485,0.0,0.4574540322318059,,0.25118006145060695,0.18557968547224737,-1.4817875065909771,-0.11575911124829674
spm,landlords_intp_national_uniform_central,34.18321208396372,0.0,34.18321208396372,,0.8930421796585335,0.012237728174261006,0.7783125155180359,0.07372148612277997,0.49575976372133
spm,landlords_scf_national_uniform_central,34.183212083963596,0.0,34.183212083963596,,0.8680559586158312,0.02009513391997684,0.7566449220357007,0.12105540467329687,0.4819582112458902
spm,landlords_mid_national_uniform_central,34.18321208396358,0.0,34.18321208396358,,0.8805490691371819,0.016166431047118884,0.7674787187768682,0.09738844539803801,0.488858987483609
spm,owner_value_stock_national_uniform_central,1910.458626159551,0.0,1910.458626159551,,0.6066696807593105,0.10246353880744878,0.3914581229119784,34.49748206019368,13.935653476240208
spm,renters_metro_local_high,-50.06739609111518,-50.06739609111518,0.0,0.4246006033800865,,0.23014619558352734,0.20753020234271816,-2.030669354993185,-0.19361576086979285
spm,landlords_intp_metro_local_high,55.235625746731884,0.0,55.235625746731884,,0.8930421796585323,0.012237728174261319,0.7783125155180339,0.11912433527220159,0.8010833125318244
spm,landlords_scf_metro_local_high,55.23562574673245,0.0,55.23562574673245,,0.8680559586158317,0.020095133919976794,0.7566449220357025,0.19560979262947423,0.7787817984030687
spm,landlords_mid_metro_local_high,55.23562574673258,0.0,55.23562574673258,,0.8805490691371831,0.01616643104711867,0.7674787187768704,0.1573670639508351,0.7899325554674547
spm,owner_value_stock_metro_local_high,2855.3063201808654,0.0,2855.3063201808654,,0.633466261920758,0.09878072543168892,0.42242588664425584,49.70560078021275,22.475410027170362
spm,renters_national_uniform_high,-50.473428454858535,-50.473428454858535,0.0,0.45745403223180714,,0.25118006145060534,0.1855796854722466,-2.234232564418674,-0.1745410693697396
spm,landlords_intp_national_uniform_high,51.553943718108044,0.0,51.553943718108044,,0.8930421796585334,0.012237728174261006,0.7783125155180349,0.11118420753010695,0.747687809261848
spm,landlords_scf_national_uniform_high,51.55394371810779,0.0,51.55394371810779,,0.868055958615831,0.020095133919976978,0.7566449220357006,0.1825715940319062,0.7268727829327353
spm,landlords_mid_national_uniform_high,51.55394371810813,0.0,51.55394371810813,,0.8805490691371829,0.016166431047118814,0.7674787187768686,0.14687790078100565,0.7372802960972954
spm,owner_value_stock_national_uniform_high,2880.5809581700887,0.0,2880.5809581700887,,0.6066696807593114,0.10246353880744792,0.39145812291198073,52.015148910693156,21.012115883404682
spm,consumer_prices_side_view,23.763383073919833,0.0,23.763383073919833,,0.636700500712627,0.09208539846997248,0.407184893504049,0.38563767004296184,0.18030356714804427
money,fiscal_a,-227.92425781757998,-227.92425781757998,0.0,0.07700469029678957,,0.017908649565293297,0.631974877075613,-0.6598435534429593,-2.7558749945265073
money,fiscal_b,-227.9242578175815,-227.9242578175815,0.0,0.4000018346816331,,0.199999455980196,0.20000110318489375,-7.368972810567743,-0.872151819856317
money,wages,-1.4690972631861499,-89.62629905429054,88.15720179110433,0.2120441005811524,0.8626951535229577,2.9338990219384304,-21.077146168785454,-0.6967601476155244,0.5924224500226966
money,renters,-33.85640156627451,-33.85640156627451,0.0,0.4246790205037033,,0.23015208090680914,0.20727466136342276,-1.2596308644763705,-0.13426294292242114
money,landlords,37.36398472186438,0.0,37.36398472186438,,0.8805490691371822,0.01616643104711889,0.7674787187768678,0.0976461063770321,0.5486415295684044
money,crime,-32.3381000000001,-32.3381000000001,0.0,0.5286506345062653,,0.32790220184055635,0.1494328837905094,-1.7141405275329504,-0.09245487764433635
money,unreimbursed_care,-4.400799999999999,-4.400799999999999,0.0,0.25653946371854214,,0.08708271537219604,0.2661977378525838,-0.06195140852900225,-0.02241326589476243
money,housing_net,3.507583155589913,-20.17236663855611,23.679949794146026,0.6270796435441357,0.9748424004097134,-2.049296815212409,6.174761364840371,-1.1619847580993534,0.41437858664598587
money,TOTAL_a,-262.6246719251765,-284.3911704797439,21.766498554567583,0.22642905213450726,0.8538111897827222,0.10115974743165412,0.3709605649052694,-4.2946803952197605,-1.8639421013969268
