measure,channel,decile,bn
spm,landlords_intp_national_uniform_low,6,0.7594710150522661
spm,landlords_intp_national_uniform_low,7,1.0530490423418433
spm,landlords_intp_national_uniform_low,8,1.4762958937453041
spm,landlords_intp_national_uniform_low,9,2.4658718091117238
spm,landlords_intp_national_uniform_low,10,14.692906041122658
spm,landlords_scf_national_uniform_low,1,0.2878713843421343
spm,landlords_scf_national_uniform_low,2,0.1551485233797552
spm,landlords_scf_national_uniform_low,3,0.2693798821786102
spm,landlords_scf_national_uniform_low,4,0.5221166627420403
spm,landlords_scf_national_uniform_low,5,0.821170368415437
spm,landlords_scf_national_uniform_low,6,0.8531684904439716
spm,landlords_scf_national_uniform_low,7,0.8751970694814893
spm,landlords_scf_national_uniform_low,8,1.5809849764546398
spm,landlords_scf_national_uniform_low,9,2.912353281367357
spm,landlords_scf_national_uniform_low,10,13.768738015329884
spm,landlords_mid_national_uniform_low,1,0.1838432560973787
spm,landlords_mid_national_uniform_low,2,0.1725639626456146
spm,landlords_mid_national_uniform_low,3,0.29304715858733277
spm,landlords_mid_national_uniform_low,4,0.4796325608630041
spm,landlords_mid_national_uniform_low,5,0.6980238987164628
spm,landlords_mid_national_uniform_low,6,0.8063197527481178
spm,landlords_mid_national_uniform_low,7,0.9641230559116671
spm,landlords_mid_national_uniform_low,8,1.528640435099974
spm,landlords_mid_national_uniform_low,9,2.6891125452395577
spm,landlords_mid_national_uniform_low,10,14.230822028226351
spm,owner_value_stock_national_uniform_low,1,62.78221939764094
spm,owner_value_stock_national_uniform_low,2,63.48753352185496
spm,owner_value_stock_national_uniform_low,3,74.32352373037315
spm,owner_value_stock_national_uniform_low,4,84.17459807549136
spm,owner_value_stock_national_uniform_low,5,93.98338843917061
spm,owner_value_stock_national_uniform_low,6,105.96479099792694
spm,owner_value_stock_national_uniform_low,7,121.62759515655972
spm,owner_value_stock_national_uniform_low,8,143.5858705414155
spm,owner_value_stock_national_uniform_low,9,179.64596681604428
spm,owner_value_stock_national_uniform_low,10,302.76290792830895
spm,renters_metro_local_central,1,-4.329005466326026
spm,renters_metro_local_central,2,-3.4631158061686382
spm,renters_metro_local_central,3,-3.355771561955721
spm,renters_metro_local_central,4,-3.2302106204951375
spm,renters_metro_local_central,5,-3.1239302985764796
spm,renters_metro_local_central,6,-3.2054810530883118
spm,renters_metro_local_central,7,-3.076749490961612
spm,renters_metro_local_central,8,-3.0545630990689783
spm,renters_metro_local_central,9,-3.3510542596369834
spm,renters_metro_local_central,10,-3.6665199099966177
spm,landlords_intp_metro_local_central,1,0.1352714240420463
spm,landlords_intp_metro_local_central,2,0.3219788644913745
spm,landlords_intp_metro_local_central,3,0.536770582084349
spm,landlords_intp_metro_local_central,4,0.7408832906180007
spm,landlords_intp_metro_local_central,5,0.9743076352194322
spm,landlords_intp_metro_local_central,6,1.2871585686672748
spm,landlords_intp_metro_local_central,7,1.7847173509102423
spm,landlords_intp_metro_local_central,8,2.5020400671799785
spm,landlords_intp_metro_local_central,9,4.17918256974539
spm,landlords_intp_metro_local_central,10,24.901674368906342
spm,landlords_scf_metro_local_central,1,0.4878871104838576
spm,landlords_scf_metro_local_central,2,0.26294716628597864
spm,landlords_scf_metro_local_central,3,0.4565475399333328
spm,landlords_scf_metro_local_central,4,0.8848881958268499
spm,landlords_scf_metro_local_central,5,1.3917272089295853
spm,landlords_scf_metro_local_central,6,1.445957924959549
spm,landlords_scf_metro_local_central,7,1.4832921664272718
spm,landlords_scf_metro_local_central,8,2.67946810219978
spm,landlords_scf_metro_local_central,9,4.935883538412994
spm,landlords_scf_metro_local_central,10,23.335385768405377
spm,landlords_mid_metro_local_central,1,0.3115792672629531
spm,landlords_mid_metro_local_central,2,0.2924630153886769
spm,landlords_mid_metro_local_central,3,0.496659061008844
spm,landlords_mid_metro_local_central,4,0.8128857432224248
spm,landlords_mid_metro_local_central,5,1.1830174220745124
spm,landlords_mid_metro_local_central,6,1.3665582468134345
spm,landlords_mid_metro_local_central,7,1.6340047586687605
spm,landlords_mid_metro_local_central,8,2.590754084689866
spm,landlords_mid_metro_local_central,9,4.557533054079165
spm,landlords_mid_metro_local_central,10,24.118530068655865
spm,owner_value_stock_metro_local_central,1,99.6223642248197
spm,owner_value_stock_metro_local_central,2,91.45402406189388
spm,owner_value_stock_metro_local_central,3,105.97871578630061
spm,owner_value_stock_metro_local_central,4,119.42175246761835
spm,owner_value_stock_metro_local_central,5,135.42544507727231
spm,owner_value_stock_metro_local_central,6,156.4458195479652
spm,owner_value_stock_metro_local_central,7,182.89974999680717
spm,owner_value_stock_metro_local_central,8,224.87623733165836
spm,owner_value_stock_metro_local_central,9,292.2165581057151
spm,owner_value_stock_metro_local_central,10,523.2289633856601
spm,renters_national_uniform_central,1,-4.641166080116767
spm,renters_national_uniform_central,2,-3.7670820480562597
spm,renters_national_uniform_central,3,-3.5679010689438275
spm,renters_national_uniform_central,4,-3.337116465869181
spm,renters_national_uniform_central,5,-3.1106214123588134
spm,renters_national_uniform_central,6,-3.1292229703353103
spm,renters_national_uniform_central,7,-2.9288343326901938
spm,renters_national_uniform_central,8,-2.7807612903305494
spm,renters_national_uniform_central,9,-2.924514115314683
spm,renters_national_uniform_central,10,-3.2877625836692514
spm,landlords_intp_national_uniform_central,1,0.12375585236290908
spm,landlords_intp_national_uniform_central,2,0.2945690052437541
spm,landlords_intp_national_uniform_central,3,0.49107563832946005
spm,landlords_intp_national_uniform_central,4,0.6778123597144018
spm,landlords_intp_national_uniform_central,5,0.8913654359311929
spm,landlords_intp_national_uniform_central,6,1.177583565189109
spm,landlords_intp_national_uniform_central,7,1.6327854796598948
spm,landlords_intp_national_uniform_central,8,2.2890429619766786
spm,landlords_intp_national_uniform_central,9,3.8234113728135966
spm,landlords_intp_national_uniform_central,10,22.78181041274275
spm,landlords_scf_national_uniform_central,1,0.4463535860762366
spm,landlords_scf_national_uniform_central,2,0.24056263856598503
spm,landlords_scf_national_uniform_central,3,0.41768193355513644
spm,landlords_scf_national_uniform_central,4,0.8095582174575888
spm,landlords_scf_national_uniform_central,5,1.273250342542386
spm,landlords_scf_national_uniform_central,6,1.3228644316529803
spm,landlords_scf_national_uniform_central,7,1.357020432507426
spm,landlords_scf_national_uniform_central,8,2.4513666594053696
