year,scope,measure,victim,offender,row_total,row_total_se,value,value_se,flag
2022,violent,count,Black,Hispanic,720900.0,69184.0,46100.0,14818.0,
2022,violent,count,Black,Other,720900.0,69184.0,25440.0,10715.0,
2022,violent,count,Black,Unknown,720900.0,69184.0,119520.0,21416.0,
2022,violent,count,Hispanic,White,1073070.0,98555.0,245250.0,38555.0,
2022,violent,count,Hispanic,Black,1073070.0,98555.0,164250.0,28181.0,
2022,violent,count,Hispanic,Hispanic,1073070.0,98555.0,331930.0,56814.0,
2022,violent,count,Hispanic,Other,1073070.0,98555.0,82040.0,19810.0,
2022,violent,count,Hispanic,Unknown,1073070.0,98555.0,249600.0,61118.0,
2022,violent,count,Other,White,577770.0,84472.0,197940.0,48436.0,
2022,violent,count,Other,Black,577770.0,84472.0,142280.0,33828.0,
2022,violent,count,Other,Hispanic,577770.0,84472.0,54330.0,30558.0,
2022,violent,count,Other,Other,577770.0,84472.0,63990.0,22222.0,
2022,violent,count,Other,Unknown,577770.0,84472.0,119240.0,21428.0,
2023,violent,count,White,White,3541060.0,212289.0,1947110.0,164433.0,
2023,violent,count,White,Black,3541060.0,212289.0,385400.0,39839.0,
2023,violent,count,White,Hispanic,3541060.0,212289.0,341020.0,55116.0,
2023,violent,count,White,Other,3541060.0,212289.0,260120.0,68871.0,
2023,violent,count,White,Unknown,3541060.0,212289.0,607410.0,74143.0,
2023,violent,count,Black,White,868760.0,108681.0,117900.0,26784.0,
2023,violent,count,Black,Black,868760.0,108681.0,486910.0,77999.0,
2023,violent,count,Black,Hispanic,868760.0,108681.0,40880.0,15840.0,
2023,violent,count,Black,Other,868760.0,108681.0,24130.0,11683.0,
2023,violent,count,Black,Unknown,868760.0,108681.0,198930.0,51843.0,
2023,violent,count,Hispanic,White,1037330.0,107067.0,377750.0,69834.0,
2023,violent,count,Hispanic,Black,1037330.0,107067.0,188490.0,45382.0,
2023,violent,count,Hispanic,Hispanic,1037330.0,107067.0,274600.0,49184.0,
2023,violent,count,Hispanic,Other,1037330.0,107067.0,64660.0,17871.0,
2023,violent,count,Hispanic,Unknown,1037330.0,107067.0,131830.0,26448.0,
2023,violent,count,Other,White,487420.0,55355.0,188040.0,37424.0,
2023,violent,count,Other,Black,487420.0,55355.0,116240.0,22854.0,
2023,violent,count,Other,Hispanic,487420.0,55355.0,31030.0,10662.0,
2023,violent,count,Other,Other,487420.0,55355.0,56810.0,11925.0,
2023,violent,count,Other,Unknown,487420.0,55355.0,95300.0,19353.0,
2024,violent,count,White,White,3421720.0,248988.0,1706750.0,203763.0,
2024,violent,count,White,Black,3421720.0,248988.0,536120.0,81462.0,
2024,violent,count,White,Hispanic,3421720.0,248988.0,271410.0,58808.0,
2024,violent,count,White,Other,3421720.0,248988.0,262120.0,50430.0,
2024,violent,count,White,Unknown,3421720.0,248988.0,645320.0,79782.0,
2024,violent,count,Black,White,773420.0,123726.0,57370.0,19748.0,
2024,violent,count,Black,Black,773420.0,123726.0,402960.0,93005.0,
2024,violent,count,Black,Hispanic,773420.0,123726.0,121880.0,73398.0,
2024,violent,count,Black,Other,773420.0,123726.0,54360.0,29488.0,
2024,violent,count,Black,Unknown,773420.0,123726.0,136850.0,48338.0,
2024,violent,count,Hispanic,White,1160980.0,188309.0,334770.0,120279.0,
2024,violent,count,Hispanic,Black,1160980.0,188309.0,288130.0,118528.0,
2024,violent,count,Hispanic,Hispanic,1160980.0,188309.0,274230.0,62453.0,
2024,violent,count,Hispanic,Other,1160980.0,188309.0,36930.0,15089.0,
2024,violent,count,Hispanic,Unknown,1160980.0,188309.0,226920.0,51653.0,
2024,violent,count,Other,White,719720.0,152472.0,217140.0,103065.0,
2024,violent,count,Other,Black,719720.0,152472.0,144420.0,37728.0,
2024,violent,count,Other,Hispanic,719720.0,152472.0,128240.0,76492.0,
2024,violent,count,Other,Other,719720.0,152472.0,106310.0,62096.0,
2024,violent,count,Other,Unknown,719720.0,152472.0,123600.0,38412.0,
