year,crimeType,victim_race,rate,rateSE,rateLB,rateUB,count,countSE,countLB,countUB,sampleSizeUnwt,countFlag,rateFlag
1995,Simple assault,Black,47.4,4.07,39.42,55.39,1193979,109912.0,978554.0,1409403.0,278,0,0
1995,Simple assault,Hispanic,48.2,4.46,39.43,56.92,932758,92921.0,750636.0,1114879.0,246,0,0
1995,Simple assault,Other,33.2,4.81,23.73,42.59,251273,38644.0,175533.0,327013.0,75,0,0
1995,Simple assault,White,49.2,2.43,44.43,53.96,8015980,400600.0,7230818.0,8801142.0,2111,0,0
1995,Violent crime excluding simple assault,Black,31.4,3.13,25.27,37.55,791064,83099.0,628193.0,953934.0,239,0,0
1995,Violent crime excluding simple assault,Hispanic,34.7,3.63,27.62,41.85,672589,74467.0,526637.0,818541.0,206,0,0
1995,Violent crime excluding simple assault,Other,28.5,4.39,19.92,37.12,216130,35016.0,147501.0,284760.0,52,0,0
1995,Violent crime excluding simple assault,White,19.2,1.29,16.66,21.74,3128429,212166.0,2712591.0,3544267.0,928,0,0
1995,Violent victimization,Black,78.8,5.6,67.84,89.79,1985042,155507.0,1680254.0,2289831.0,517,0,0
1995,Violent victimization,Hispanic,82.9,6.25,70.66,95.16,1605347,134511.0,1341711.0,1868983.0,452,0,0
1995,Violent victimization,Other,61.7,7.02,47.91,75.45,467403,58310.0,353118.0,581689.0,127,0,0
1995,Violent victimization,White,68.4,3.01,62.48,74.3,11144409,497866.0,10168609.0,12120209.0,3039,0,0
1996,Aggravated assault,Black,17.0,2.27,12.5,21.41,429376,59660.0,312445.0,546307.0,105,0,0
1996,Aggravated assault,Hispanic,15.9,2.33,11.33,20.48,326134,49569.0,228980.0,423288.0,87,0,0
1996,Aggravated assault,Other,9.8,2.4,5.13,14.52,77124,19285.0,39327.0,114921.0,24,0,0
1996,Aggravated assault,White,12.5,1.06,10.43,14.57,2044611,173741.0,1704085.0,2385137.0,520,0,0
1996,Personal theft/Larceny,Black,1.8,0.53,0.71,2.8,44389,13630.0,17675.0,71103.0,15,0,0
