DATAFLOW,FREQ,REF_AREA,DATA_TYPE,TYPE_CRIME,SEX,AGE,CITIZENSHIP,COUNTRY_CITIZEN,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_TYPE_CRIME,NOTE_SEX,NOTE_AGE,NOTE_CITIZENSHIP,NOTE_COUNTRY_CITIZEN,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y14-17,ITL,WORLD,2022,38,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y14-17,ITL,WORLD,2023,57,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y14-17,ITL,WORLD,2024,58,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y14-17,TOTAL,WORLD,2022,64,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y14-17,TOTAL,WORLD,2023,86,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y14-17,TOTAL,WORLD,2024,145,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y18-24,FRG,WORLD,2022,78,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y18-24,FRG,WORLD,2023,91,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y18-24,FRG,WORLD,2024,97,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y18-24,ITL,WORLD,2022,79,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y18-24,ITL,WORLD,2023,83,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
